Wavelength (nm),C60_n,C60_k
250,0.971894,0.899163
251,0.988173,0.931514
252,1.0062,0.963629
253,1.026,0.995405
254,1.0475,1.0267
255,1.0708,1.0575
256,1.096,1.0876
257,1.1229,1.1169
258,1.1517,1.1452
259,1.1823,1.1725
260,1.2147,1.1985
261,1.2488,1.2231
262,1.2846,1.2461
263,1.3221,1.2674
264,1.3612,1.2868
265,1.4017,1.304
266,1.4435,1.319
267,1.4865,1.3315
268,1.5305,1.3413
269,1.5751,1.3484
270,1.6203,1.3526
271,1.6657,1.3539
272,1.711,1.352
273,1.756,1.3471
274,1.8002,1.3392
275,1.8435,1.3283
276,1.8855,1.3145
277,1.9258,1.298
278,1.9643,1.2789
279,2.0007,1.2576
280,2.0348,1.2342
281,2.0664,1.2091
282,2.0955,1.1825
283,2.1219,1.1547
284,2.1457,1.126
285,2.1668,1.0967
286,2.1853,1.067
287,2.2012,1.0372
288,2.2146,1.0076
289,2.2258,0.978265
290,2.2347,0.949437
291,2.2415,0.921253
292,2.2464,0.893841
293,2.2494,0.867304
294,2.2509,0.841728
295,2.2508,0.817178
296,2.2493,0.793705
297,2.2466,0.771347
298,2.2427,0.750129
299,2.2378,0.730068
300,2.232,0.711174
301,2.2253,0.693449
302,2.2179,0.676894
303,2.2099,0.661503
304,2.2013,0.647271
305,2.1921,0.63419
306,2.1826,0.622255
307,2.1726,0.611457
308,2.1623,0.601792
309,2.1517,0.593255
310,2.1409,0.585844
311,2.1299,0.579559
312,2.1188,0.574401
313,2.1076,0.570375
314,2.0964,0.567486
315,2.0852,0.565742
316,2.0741,0.565155
317,2.0632,0.565733
318,2.0525,0.567489
319,2.0421,0.570433
320,2.032,0.574574
321,2.0224,0.57992
322,2.0134,0.586473
323,2.005,0.594228
324,1.9974,0.603175
325,1.9907,0.613289
326,1.985,0.624534
327,1.9805,0.636857
328,1.9773,0.650187
329,1.9756,0.66443
330,1.9754,0.679467
331,1.977,0.695152
332,1.9805,0.711314
333,1.986,0.72775
334,1.9935,0.744234
335,2.0032,0.760511
336,2.015,0.776311
337,2.029,0.791345
338,2.045,0.80532
339,2.0631,0.817944
340,2.0829,0.828939
341,2.1043,0.838049
342,2.1271,0.845052
343,2.1509,0.84977
344,2.1754,0.852078
345,2.2002,0.851911
346,2.2251,0.849266
347,2.2496,0.844204
348,2.2735,0.836845
349,2.2964,0.827364
350,2.3181,0.815982
351,2.3385,0.80295
352,2.3573,0.788542
353,2.3745,0.773035
354,2.3901,0.756698
355,2.4042,0.739777
356,2.4168,0.722479
357,2.4281,0.704965
358,2.4382,0.687339
359,2.4472,0.669645
360,2.4552,0.651873
361,2.4624,0.633976
362,2.4686,0.615892
363,2.474,0.597574
364,2.4783,0.57902
365,2.4814,0.560292
366,2.4833,0.541511
367,2.4838,0.522846
368,2.4831,0.504489
369,2.4811,0.486624
370,2.4779,0.469409
371,2.4737,0.452966
372,2.4686,0.437375
373,2.4628,0.422681
374,2.4564,0.408897
375,2.4496,0.396014
376,2.4423,0.384009
377,2.4349,0.372848
378,2.4272,0.362489
379,2.4193,0.352893
380,2.4114,0.344014
381,2.4035,0.335812
382,2.3956,0.328247
383,2.3877,0.32128
384,2.3798,0.314877
385,2.3721,0.309003
386,2.3644,0.303629
387,2.3568,0.298727
388,2.3493,0.294268
389,2.342,0.290231
390,2.3348,0.28659
391,2.3278,0.283327
392,2.3208,0.28042
393,2.3141,0.277853
394,2.3075,0.275607
395,2.3011,0.273666
396,2.2948,0.272017
397,2.2887,0.270643
398,2.2828,0.269532
399,2.277,0.268671
400,2.2714,0.268048
401,2.266,0.26765
402,2.2608,0.267467
403,2.2558,0.267487
404,2.251,0.267701
405,2.2463,0.268097
406,2.2419,0.268667
407,2.2376,0.2694
408,2.2335,0.270286
409,2.2297,0.271318
410,2.226,0.272484
411,2.2225,0.273777
412,2.2192,0.275188
413,2.2161,0.276707
414,2.2133,0.278326
415,2.2106,0.280036
416,2.2081,0.281829
417,2.2058,0.283696
418,2.2037,0.285628
419,2.2019,0.287617
420,2.2002,0.289654
421,2.1987,0.29173
422,2.1975,0.293838
423,2.1964,0.295967
424,2.1955,0.29811
