Wavelength (nm),IOHamorphous_n,IOHamorphous_k
246.2,2.23,0.5701
247.8,2.234,0.5666
249.4,2.238,0.5632
251,2.241,0.5598
252.6,2.246,0.5564
254.2,2.25,0.553
255.7,2.255,0.5494
257.3,2.259,0.5458
258.9,2.264,0.5421
260.5,2.27,0.5382
262.1,2.275,0.5341
263.7,2.28,0.5299
265.3,2.286,0.5254
266.9,2.292,0.5207
268.4,2.298,0.5157
270,2.304,0.5105
271.6,2.309,0.505
273.2,2.315,0.4992
274.8,2.321,0.4931
276.4,2.327,0.4867
278,2.333,0.48
279.6,2.339,0.473
281.1,2.344,0.4657
282.7,2.35,0.4581
284.3,2.355,0.4503
285.9,2.36,0.4421
287.5,2.364,0.4338
289.1,2.369,0.4251
290.7,2.373,0.4163
292.3,2.377,0.4073
293.8,2.381,0.3981
295.4,2.384,0.3888
297,2.387,0.3793
298.6,2.389,0.3697
300.2,2.392,0.3601
301.8,2.394,0.3504
303.4,2.395,0.3406
305,2.396,0.3309
306.5,2.397,0.3211
308.1,2.398,0.3114
309.7,2.398,0.3018
311.3,2.398,0.2922
312.9,2.397,0.2827
314.5,2.397,0.2733
316.1,2.396,0.2641
317.7,2.394,0.255
319.2,2.393,0.246
320.8,2.391,0.2372
322.4,2.389,0.2286
324,2.386,0.2201
325.6,2.384,0.2118
327.2,2.381,0.2038
328.8,2.378,0.1959
330.4,2.375,0.1882
332,2.372,0.1807
333.5,2.368,0.1735
335.1,2.365,0.1664
336.7,2.361,0.1595
338.3,2.357,0.1529
339.9,2.353,0.1465
341.5,2.349,0.1402
343.1,2.345,0.1342
344.7,2.341,0.1283
346.2,2.337,0.1227
347.8,2.333,0.1173
349.4,2.328,0.112
351,2.324,0.107
352.6,2.32,0.1021
354.2,2.315,0.0974
355.8,2.311,0.0929
357.4,2.306,0.0885
359,2.302,0.0843
360.5,2.297,0.0803
362.1,2.293,0.0765
363.7,2.288,0.0728
365.3,2.284,0.0692
366.9,2.28,0.0658
368.5,2.275,0.0625
370.1,2.271,0.0594
371.7,2.266,0.0564
373.3,2.262,0.0536
374.8,2.258,0.0508
376.4,2.253,0.0482
378,2.249,0.0457
379.6,2.245,0.0434
381.2,2.241,0.0411
382.8,2.237,0.0389
384.4,2.233,0.0369
386,2.228,0.0349
387.6,2.224,0.0331
389.1,2.22,0.0313
390.7,2.216,0.0297
392.3,2.213,0.0281
393.9,2.209,0.0266
395.5,2.205,0.0252
397.1,2.201,0.0239
398.7,2.197,0.0226
400.3,2.194,0.0214
401.9,2.19,0.0203
403.4,2.187,0.0193
405,2.183,0.0184
406.6,2.18,0.0175
408.2,2.176,0.0166
409.8,2.173,0.0159
411.4,2.17,0.0152
413,2.166,0.0145
414.6,2.163,0.0139
416.2,2.16,0.0134
417.7,2.157,0.0129
419.3,2.154,0.0125
420.9,2.151,0.0121
422.5,2.148,0.0118
424.1,2.145,0.0115
425.7,2.142,0.0113
427.3,2.139,0.0111
428.9,2.137,0.0109
430.5,2.134,0.0108
432,2.132,0.0106
433.6,2.129,0.0105
435.2,2.127,0.0103
436.8,2.124,0.0102
438.4,2.122,0.0101
440,2.12,0.00994
441.6,2.118,0.00981
443.2,2.115,0.00969
444.8,2.113,0.00957
446.3,2.111,0.00945
447.9,2.109,0.00934
449.5,2.107,0.00923
451.1,2.105,0.00913
452.7,2.103,0.00903
454.3,2.101,0.00893
455.9,2.099,0.00884
457.5,2.097,0.00874
459.1,2.095,0.00866
460.6,2.093,0.00857
462.2,2.091,0.00849
463.8,2.089,0.00841
465.4,2.088,0.00833
467,2.086,0.00825
468.6,2.084,0.00818
470.2,2.082,0.00811
471.8,2.081,0.00805
473.4,2.079,0.00798
474.9,2.077,0.00792
476.5,2.075,0.00786
478.1,2.074,0.0078
479.7,2.072,0.00774
481.3,2.07,0.00769
482.9,2.069,0.00764
484.5,2.067,0.00759
486.1,2.066,0.00754
487.7,2.064,0.0075
489.2,2.062,0.00745
490.8,2.061,0.00741
492.4,2.059,0.00737
494,2.058,0.00733
495.6,2.056,0.0073
497.2,2.055,0.00726
498.8,2.053,0.00723
500.4,2.052,0.0072
502,2.05,0.00717
503.5,2.049,0.00714
505.1,2.047,0.00712
506.7,2.046,0.00709
508.3,2.044,0.00707
509.9,2.043,0.00705
511.5,2.042,0.00702
513.1,2.04,0.00701
514.7,2.039,0.00699
516.2,2.037,0.00697
517.8,2.036,0.00696
519.4,2.035,0.00694
521,2.033,0.00693
522.6,2.032,0.00692
524.2,2.03,0.00691
525.8,2.029,0.0069
527.4,2.028,0.00689
529,2.026,0.00689
530.5,2.025,0.00688
532.1,2.024,0.00688
533.7,2.022,0.00687
535.3,2.021,0.00687
536.9,2.02,0.00687
538.5,2.019,0.00687
540.1,2.017,0.00687
541.7,2.016,0.00687
543.2,2.015,0.00688
544.8,2.013,0.00688
546.4,2.012,0.00689
548,2.011,0.00689
549.6,2.01,0.0069
551.2,2.008,0.00691
552.8,2.007,0.00691
554.4,2.006,0.00692
555.9,2.005,0.00693
557.5,2.003,0.00695
559.1,2.002,0.00696
560.7,2.001,0.00697
562.3,2,0.00699
563.9,1.999,0.007
565.5,1.997,0.00702
567.1,1.996,0.00703
568.6,1.995,0.00705
570.2,1.994,0.00707
571.8,1.993,0.00709
573.4,1.991,0.00711
575,1.99,0.00713
576.6,1.989,0.00715
578.2,1.988,0.00717
579.8,1.987,0.00719
581.3,1.986,0.00721
582.9,1.984,0.00724
584.5,1.983,0.00726
586.1,1.982,0.00729
587.7,1.981,0.00731
589.3,1.98,0.00734
590.9,1.979,0.00737
592.5,1.977,0.0074
594,1.976,0.00742
595.6,1.975,0.00745
597.2,1.974,0.00748
598.8,1.973,0.00751
600.4,1.972,0.00755
602,1.971,0.00758
603.6,1.969,0.00761
605.1,1.968,0.00764
606.7,1.967,0.00768
608.3,1.966,0.00771
609.9,1.965,0.00775
611.5,1.964,0.00778
613.1,1.963,0.00782
614.7,1.962,0.00785
616.2,1.96,0.00789
617.8,1.959,0.00793
619.4,1.958,0.00797
621,1.957,0.00801
622.6,1.956,0.00805
624.2,1.955,0.00809
625.8,1.954,0.00813
627.3,1.953,0.00817
628.9,1.952,0.00821
630.5,1.95,0.00825
632.1,1.949,0.0083
633.7,1.948,0.00834
635.3,1.947,0.00838
636.9,1.946,0.00843
638.4,1.945,0.00847
640,1.944,0.00852
641.6,1.943,0.00856
643.2,1.942,0.00861
644.8,1.941,0.00866
646.4,1.939,0.00871
648,1.938,0.00875
649.5,1.937,0.0088
651.1,1.936,0.00885
652.7,1.935,0.0089
654.3,1.934,0.00895
655.9,1.933,0.009
657.5,1.932,0.00906
659.1,1.931,0.00911
660.6,1.93,0.00916
662.2,1.929,0.00921
663.8,1.927,0.00927
665.4,1.926,0.00932
667,1.925,0.00937
668.6,1.924,0.00943
670.1,1.923,0.00948
671.7,1.922,0.00954
673.3,1.921,0.0096
674.9,1.92,0.00965
676.5,1.919,0.00971
678.1,1.918,0.00977
679.6,1.917,0.00983
681.2,1.915,0.00989
682.8,1.914,0.00995
684.4,1.913,0.01
686,1.912,0.0101
687.6,1.911,0.0101
689.2,1.91,0.0102
690.7,1.909,0.0103
692.3,1.908,0.0103
693.9,1.907,0.0104
695.5,1.906,0.0104
697.1,1.905,0.0105
698.7,1.904,0.0106
700.2,1.902,0.0106
701.8,1.901,0.0107
703.4,1.9,0.0108
705,1.899,0.0108
706.6,1.898,0.0109
708.1,1.897,0.011
709.7,1.896,0.011
711.3,1.895,0.0111
712.9,1.894,0.0112
714.5,1.893,0.0112
716.1,1.892,0.0113
717.6,1.89,0.0114
719.2,1.889,0.0114
720.8,1.888,0.0115
722.4,1.887,0.0116
724,1.886,0.0117
725.6,1.885,0.0117
727.1,1.884,0.0118
728.7,1.883,0.0119
730.3,1.882,0.012
731.9,1.881,0.012
733.5,1.879,0.0121
735,1.878,0.0122
736.6,1.877,0.0123
738.2,1.876,0.0123
739.8,1.875,0.0124
741.4,1.874,0.0125
743,1.873,0.0126
744.5,1.872,0.0126
746.1,1.871,0.0127
747.7,1.87,0.0128
749.3,1.868,0.0129
750.9,1.867,0.013
752.4,1.866,0.013
754,1.865,0.0131
755.6,1.864,0.0132
757.2,1.863,0.0133
758.8,1.862,0.0134
760.3,1.861,0.0135
761.9,1.86,0.0135
763.5,1.858,0.0136
765.1,1.857,0.0137
766.7,1.856,0.0138
768.2,1.855,0.0139
769.8,1.854,0.014
771.4,1.853,0.014
773,1.852,0.0141
774.6,1.851,0.0142
776.1,1.85,0.0143
777.7,1.848,0.0144
779.3,1.847,0.0145
780.9,1.846,0.0146
782.5,1.845,0.0147
784,1.844,0.0148
785.6,1.843,0.0149
787.2,1.842,0.0149
788.8,1.84,0.015
790.3,1.839,0.0151
791.9,1.838,0.0152
793.5,1.837,0.0153
795.1,1.836,0.0154
796.7,1.835,0.0155
798.2,1.834,0.0156
799.8,1.833,0.0157
801.4,1.831,0.0158
803,1.83,0.0159
804.5,1.829,0.016
806.1,1.828,0.0161
807.7,1.827,0.0162
809.3,1.826,0.0163
810.9,1.824,0.0164
812.4,1.823,0.0165
814,1.822,0.0166
815.6,1.821,0.0167
817.2,1.82,0.0168
818.7,1.819,0.0169
820.3,1.818,0.017
821.9,1.816,0.0171
823.5,1.815,0.0172
825.1,1.814,0.0173
826.6,1.813,0.0174
828.2,1.812,0.0175
829.8,1.811,0.0176
831.4,1.809,0.0177
832.9,1.808,0.0178
834.5,1.807,0.0179
836.1,1.806,0.018
837.7,1.805,0.0182
839.2,1.803,0.0183
840.8,1.802,0.0184
842.4,1.801,0.0185
844,1.8,0.0186
845.5,1.799,0.0187
847.1,1.798,0.0188
848.7,1.796,0.0189
850.3,1.795,0.019
851.8,1.794,0.0192
853.4,1.793,0.0193
855,1.792,0.0194
856.6,1.79,0.0195
858.1,1.789,0.0196
859.7,1.788,0.0197
861.3,1.787,0.0199
862.9,1.786,0.02
864.4,1.784,0.0201
866,1.783,0.0202
867.6,1.782,0.0203
869.2,1.781,0.0204
870.7,1.779,0.0206
872.3,1.778,0.0207
873.9,1.777,0.0208
875.4,1.776,0.0209
877,1.775,0.0211
878.6,1.773,0.0212
880.2,1.772,0.0213
881.7,1.771,0.0214
883.3,1.77,0.0216
884.9,1.768,0.0217
886.5,1.767,0.0218
888,1.766,0.0219
889.6,1.765,0.0221
891.2,1.764,0.0222
892.7,1.762,0.0223
894.3,1.761,0.0225
895.9,1.76,0.0226
897.5,1.759,0.0227
899,1.757,0.0228
900.6,1.756,0.023
902.2,1.755,0.0231
903.7,1.754,0.0232
905.3,1.752,0.0234
906.9,1.751,0.0235
908.5,1.75,0.0236
910,1.748,0.0238
911.6,1.747,0.0239
913.2,1.746,0.0241
914.7,1.745,0.0242
916.3,1.743,0.0243
917.9,1.742,0.0245
919.5,1.741,0.0246
921,1.74,0.0248
922.6,1.738,0.0249
924.2,1.737,0.025
925.7,1.736,0.0252
927.3,1.734,0.0253
928.9,1.733,0.0255
930.4,1.732,0.0256
932,1.731,0.0258
933.6,1.729,0.0259
935.1,1.728,0.0261
936.7,1.727,0.0262
938.3,1.725,0.0264
939.8,1.724,0.0265
941.4,1.723,0.0267
943,1.721,0.0268
944.6,1.72,0.027
946.1,1.719,0.0271
947.7,1.717,0.0273
949.3,1.716,0.0274
950.8,1.715,0.0276
952.4,1.714,0.0277
954,1.712,0.0279
955.5,1.711,0.028
957.1,1.71,0.0282
958.7,1.708,0.0283
960.2,1.707,0.0285
961.8,1.706,0.0287
963.4,1.704,0.0288
964.9,1.703,0.029
966.5,1.701,0.0291
968.1,1.7,0.0293
969.6,1.699,0.0295
971.2,1.697,0.0296
972.8,1.696,0.0298
974.3,1.695,0.03
975.9,1.693,0.0301
977.5,1.692,0.0303
979,1.691,0.0305
980.6,1.689,0.0306
982.1,1.688,0.0308
983.7,1.687,0.031
985.3,1.685,0.0311
986.8,1.684,0.0313
988.4,1.682,0.0315
990,1.681,0.0317
991.5,1.68,0.0318
993.1,1.678,0.032
994.7,1.677,0.0322
996.2,1.675,0.0324
997.8,1.674,0.0325
999.3,1.673,0.0327
1010,1.663,0.034
1013,1.66,0.0343
1017,1.657,0.0347
1020,1.654,0.0352
1023,1.651,0.0356
1027,1.648,0.036
1030,1.644,0.0364
1034,1.641,0.0368
1037,1.638,0.0372
1040,1.635,0.0377
1044,1.632,0.0381
1047,1.629,0.0385
1050,1.626,0.039
1054,1.622,0.0394
1057,1.619,0.0399
1060,1.616,0.0403
1064,1.613,0.0408
1067,1.609,0.0413
1071,1.606,0.0417
1074,1.603,0.0422
1077,1.599,0.0427
1081,1.596,0.0432
1084,1.593,0.0437
1087,1.589,0.0442
1091,1.586,0.0447
1094,1.583,0.0452
1097,1.579,0.0457
1101,1.576,0.0462
1104,1.572,0.0467
1107,1.569,0.0472
1111,1.565,0.0478
1114,1.562,0.0483
1118,1.558,0.0489
1121,1.555,0.0494
1124,1.551,0.05
1128,1.548,0.0505
1131,1.544,0.0511
1134,1.541,0.0517
1138,1.537,0.0522
1141,1.533,0.0528
1145,1.53,0.0534
1148,1.526,0.054
1151,1.522,0.0546
1155,1.519,0.0552
1158,1.515,0.0558
1161,1.511,0.0565
1165,1.508,0.0571
1168,1.504,0.0577
1171,1.5,0.0584
1175,1.496,0.059
1178,1.492,0.0597
1182,1.489,0.0603
1185,1.485,0.061
1188,1.481,0.0617
1192,1.477,0.0624
1195,1.473,0.0631
1198,1.469,0.0638
1202,1.465,0.0645
1205,1.461,0.0652
1209,1.457,0.0659
1212,1.453,0.0667
1215,1.449,0.0674
1219,1.445,0.0682
1222,1.441,0.0689
1226,1.437,0.0697
1229,1.433,0.0705
1232,1.429,0.0712
1236,1.424,0.072
1239,1.42,0.0728
1242,1.416,0.0736
1246,1.412,0.0745
1249,1.407,0.0753
1253,1.403,0.0761
1256,1.399,0.077
1259,1.395,0.0778
1263,1.39,0.0787
1266,1.386,0.0796
1270,1.381,0.0805
1273,1.377,0.0814
1276,1.373,0.0823
1280,1.368,0.0832
1283,1.364,0.0842
1286,1.359,0.0851
1290,1.355,0.0861
1293,1.35,0.087
1297,1.345,0.088
1300,1.341,0.089
1303,1.336,0.09
1307,1.331,0.091
1310,1.327,0.0921
1314,1.322,0.0931
1317,1.317,0.0942
1320,1.312,0.0952
1324,1.308,0.0963
1327,1.303,0.0974
1331,1.298,0.0985
1334,1.293,0.0997
1338,1.288,0.1008
1341,1.283,0.102
1344,1.278,0.1031
1348,1.273,0.1043
1351,1.268,0.1055
1355,1.263,0.1067
1358,1.258,0.108
1361,1.253,0.1092
1365,1.248,0.1105
1368,1.242,0.1118
1372,1.237,0.1131
1375,1.232,0.1144
1378,1.227,0.1158
1382,1.221,0.1171
1385,1.216,0.1185
1389,1.21,0.1199
1392,1.205,0.1214
1396,1.199,0.1228
1399,1.194,0.1243
1402,1.188,0.1258
1406,1.183,0.1273
1409,1.177,0.1288
1413,1.172,0.1304
1416,1.166,0.132
1420,1.16,0.1336
1423,1.154,0.1352
1426,1.149,0.1369
1430,1.143,0.1385
1433,1.137,0.1403
1437,1.131,0.142
1440,1.125,0.1438
1444,1.119,0.1456
1447,1.113,0.1474
1450,1.107,0.1493
1454,1.101,0.1511
1457,1.095,0.1531
1461,1.088,0.155
1464,1.082,0.157
1468,1.076,0.159
1471,1.07,0.1611
1475,1.063,0.1632
1478,1.057,0.1653
1481,1.05,0.1675
1485,1.044,0.1697
1488,1.037,0.172
1492,1.031,0.1743
1495,1.024,0.1766
1499,1.017,0.179
1502,1.01,0.1815
1506,1.004,0.1839
1509,0.9967,0.1865
1513,0.9898,0.1891
