Wavelength (nm),IOHcrystallized_n,IOHcrystallized_k
246.2,2.222,0.5462
247.8,2.224,0.5435
249.4,2.226,0.5412
251,2.229,0.539
252.6,2.231,0.5371
254.2,2.234,0.5355
255.7,2.237,0.5341
257.3,2.241,0.533
258.9,2.245,0.5321
260.5,2.249,0.5313
262.1,2.254,0.5307
263.7,2.26,0.5302
265.3,2.266,0.5297
266.9,2.272,0.529
268.4,2.28,0.5283
270,2.288,0.5272
271.6,2.297,0.5257
273.2,2.307,0.5237
274.8,2.317,0.5211
276.4,2.328,0.5177
278,2.34,0.5133
279.6,2.352,0.5079
281.1,2.364,0.5014
282.7,2.376,0.4937
284.3,2.389,0.4846
285.9,2.401,0.4743
287.5,2.413,0.4627
289.1,2.424,0.4498
290.7,2.434,0.4358
292.3,2.443,0.4208
293.8,2.451,0.4049
295.4,2.458,0.3883
297,2.464,0.3711
298.6,2.468,0.3536
300.2,2.471,0.336
301.8,2.473,0.3183
303.4,2.473,0.3009
305,2.473,0.2838
306.5,2.471,0.2671
308.1,2.468,0.2509
309.7,2.464,0.2354
311.3,2.46,0.2205
312.9,2.454,0.2063
314.5,2.448,0.1929
316.1,2.442,0.1802
317.7,2.436,0.1682
319.2,2.429,0.1569
320.8,2.421,0.1463
322.4,2.414,0.1364
324,2.406,0.1271
325.6,2.399,0.1185
327.2,2.391,0.1104
328.8,2.383,0.1029
330.4,2.376,0.09588
332,2.368,0.08936
333.5,2.361,0.08329
335.1,2.353,0.07765
336.7,2.346,0.07241
338.3,2.339,0.06754
339.9,2.332,0.06301
341.5,2.325,0.05881
343.1,2.318,0.05492
344.7,2.311,0.0513
346.2,2.305,0.04795
347.8,2.299,0.04484
349.4,2.292,0.04197
351,2.286,0.0393
352.6,2.28,0.03684
354.2,2.275,0.03456
355.8,2.269,0.03246
357.4,2.264,0.03052
359,2.258,0.02873
360.5,2.253,0.02708
362.1,2.248,0.02557
363.7,2.243,0.02419
365.3,2.238,0.02292
366.9,2.234,0.02176
368.5,2.229,0.02071
370.1,2.225,0.01975
371.7,2.22,0.01888
373.3,2.216,0.01811
374.8,2.212,0.01741
376.4,2.208,0.01679
378,2.204,0.01622
379.6,2.201,0.01567
381.2,2.197,0.01515
382.8,2.194,0.01464
384.4,2.191,0.01416
386,2.187,0.01369
387.6,2.184,0.01324
389.1,2.181,0.0128
390.7,2.178,0.01239
392.3,2.175,0.01198
393.9,2.173,0.0116
395.5,2.17,0.01123
397.1,2.167,0.01087
398.7,2.164,0.01052
400.3,2.162,0.01019
401.9,2.159,0.009874
403.4,2.157,0.009568
405,2.154,0.009273
406.6,2.152,0.008989
408.2,2.149,0.008716
409.8,2.147,0.008453
411.4,2.145,0.0082
413,2.143,0.007957
414.6,2.14,0.007723
416.2,2.138,0.007497
417.7,2.136,0.007281
419.3,2.134,0.007072
420.9,2.132,0.006871
422.5,2.13,0.006678
424.1,2.128,0.006493
425.7,2.126,0.006314
427.3,2.124,0.006142
428.9,2.122,0.005976
430.5,2.121,0.005817
432,2.119,0.005664
433.6,2.117,0.005516
435.2,2.115,0.005375
436.8,2.113,0.005238
438.4,2.112,0.005107
440,2.11,0.004981
441.6,2.108,0.004859
443.2,2.107,0.004742
444.8,2.105,0.00463
446.3,2.104,0.004522
447.9,2.102,0.004418
449.5,2.101,0.004318
451.1,2.099,0.004222
452.7,2.097,0.004129
454.3,2.096,0.004041
455.9,2.095,0.003955
457.5,2.093,0.003873
459.1,2.092,0.003794
460.6,2.09,0.003718
462.2,2.089,0.003645
463.8,2.088,0.003575
465.4,2.086,0.003508
467,2.085,0.003444
468.6,2.084,0.003382
470.2,2.082,0.003322
471.8,2.081,0.003265
473.4,2.08,0.00321
474.9,2.078,0.003158
476.5,2.077,0.003107
478.1,2.076,0.003059
479.7,2.075,0.003012
481.3,2.074,0.002968
482.9,2.072,0.002926
484.5,2.071,0.002885
486.1,2.07,0.002846
487.7,2.069,0.002809
489.2,2.068,0.002773
490.8,2.067,0.002739
492.4,2.066,0.002707
494,2.065,0.002676
495.6,2.063,0.002646
497.2,2.062,0.002618
498.8,2.061,0.002591
500.4,2.06,0.002565
502,2.059,0.002541
503.5,2.058,0.002518
505.1,2.057,0.002496
506.7,2.056,0.002475
508.3,2.055,0.002456
509.9,2.054,0.002437
511.5,2.053,0.002419
513.1,2.052,0.002403
514.7,2.051,0.002387
516.2,2.05,0.002373
517.8,2.049,0.002359
519.4,2.048,0.002346
521,2.047,0.002334
522.6,2.047,0.002323
524.2,2.046,0.002313
525.8,2.045,0.002303
527.4,2.044,0.002294
529,2.043,0.002286
530.5,2.042,0.002279
532.1,2.041,0.002273
533.7,2.04,0.002267
535.3,2.039,0.002261
536.9,2.039,0.002257
538.5,2.038,0.002253
540.1,2.037,0.002249
541.7,2.036,0.002247
543.2,2.035,0.002244
544.8,2.034,0.002243
546.4,2.034,0.002242
548,2.033,0.002241
549.6,2.032,0.002241
