Wavelength (nm),ITOsput2E20_n,ITOsput2E20_k
250,2.417,0.366
255,2.413,0.3446
260,2.408,0.3241
265,2.402,0.3046
270,2.396,0.2861
275,2.39,0.2684
280,2.384,0.2515
285,2.377,0.2355
290,2.37,0.2202
295,2.363,0.2056
300,2.356,0.1917
305,2.349,0.1785
310,2.341,0.166
315,2.334,0.1541
320,2.326,0.1428
325,2.319,0.132
330,2.311,0.1218
335,2.303,0.1122
340,2.295,0.103
345,2.287,0.09438
350,2.28,0.08622
355,2.272,0.07852
360,2.264,0.07126
365,2.256,0.06444
370,2.249,0.05804
375,2.241,0.05205
380,2.233,0.04645
385,2.226,0.04123
390,2.218,0.03638
395,2.211,0.0319
400,2.203,0.02776
405,2.196,0.02396
410,2.189,0.0205
415,2.182,0.01736
420,2.175,0.01453
425,2.168,0.01201
430,2.161,0.00979
435,2.154,0.00786
440,2.148,0.00622
445,2.142,0.00485
450,2.135,0.00375
455,2.129,0.00292
460,2.124,0.00234
465,2.118,0.00201
470,2.113,0.00194
475,2.108,0.002
480,2.103,0.00207
485,2.099,0.00214
490,2.095,0.00221
495,2.091,0.00229
500,2.087,0.00236
505,2.083,0.00244
510,2.08,0.00251
515,2.076,0.00259
520,2.073,0.00267
525,2.07,0.00275
530,2.066,0.00284
535,2.063,0.00292
540,2.06,0.00301
545,2.057,0.0031
550,2.054,0.00319
555,2.051,0.00328
560,2.049,0.00337
565,2.046,0.00347
570,2.043,0.00357
575,2.04,0.00367
580,2.038,0.00377
585,2.035,0.00387
590,2.033,0.00398
595,2.03,0.00408
600,2.028,0.00419
605,2.025,0.0043
610,2.023,0.00441
615,2.021,0.00453
620,2.018,0.00464
625,2.016,0.00476
630,2.014,0.00488
635,2.011,0.00501
640,2.009,0.00513
645,2.007,0.00526
650,2.005,0.00539
655,2.002,0.00552
660,2,0.00565
665,1.998,0.00579
670,1.996,0.00592
675,1.994,0.00606
680,1.992,0.0062
685,1.989,0.00635
690,1.987,0.00649
695,1.985,0.00664
700,1.983,0.00679
705,1.981,0.00695
710,1.979,0.0071
715,1.977,0.00726
720,1.975,0.00742
725,1.973,0.00758
730,1.971,0.00775
735,1.969,0.00792
740,1.967,0.00809
745,1.965,0.00826
750,1.963,0.00844
755,1.961,0.00861
760,1.959,0.0088
765,1.957,0.00898
770,1.955,0.00916
775,1.953,0.00935
780,1.95,0.00954
785,1.948,0.00974
790,1.946,0.00993
795,1.944,0.01014
800,1.942,0.01034
805,1.94,0.01054
810,1.938,0.01075
815,1.936,0.01096
820,1.934,0.01117
825,1.932,0.01139
830,1.93,0.01161
835,1.928,0.01183
840,1.926,0.01206
845,1.924,0.01229
850,1.922,0.01252
855,1.92,0.01275
860,1.918,0.01299
865,1.916,0.01323
870,1.914,0.01347
875,1.912,0.01372
880,1.91,0.01397
885,1.908,0.01422
890,1.906,0.01448
895,1.904,0.01474
900,1.902,0.015
905,1.9,0.01527
910,1.898,0.01554
915,1.896,0.01581
920,1.893,0.01609
925,1.891,0.01637
930,1.889,0.01665
935,1.887,0.01694
940,1.885,0.01723
945,1.883,0.01753
950,1.881,0.01782
955,1.879,0.01812
960,1.877,0.01843
965,1.874,0.01874
970,1.872,0.01905
975,1.87,0.01937
980,1.868,0.01969
985,1.866,0.02001
990,1.864,0.02034
995,1.861,0.02067
1000,1.859,0.02101
1005,1.857,0.02135
1010,1.855,0.02169
1015,1.853,0.02204
1020,1.85,0.02239
1025,1.848,0.02274
1030,1.846,0.0231
1035,1.844,0.02347
1040,1.841,0.02383
1045,1.839,0.02421
1050,1.837,0.02458
1055,1.835,0.02497
1060,1.832,0.02535
1065,1.83,0.02574
1070,1.828,0.02613
1075,1.825,0.02653
1080,1.823,0.02694
1085,1.821,0.02734
1090,1.818,0.02775
1095,1.816,0.02817
1100,1.814,0.02859
1105,1.811,0.02902
1110,1.809,0.02945
1115,1.807,0.02988
1120,1.804,0.03033
1125,1.802,0.03077
1130,1.799,0.03122
1135,1.797,0.03168
1140,1.795,0.03213
1145,1.792,0.0326
1150,1.79,0.03307
1155,1.787,0.03354
1160,1.785,0.03403
1165,1.782,0.03451
1170,1.78,0.035
1175,1.777,0.0355
1180,1.775,0.036
1185,1.772,0.03651
1190,1.77,0.03702
1195,1.767,0.03753
1200,1.764,0.03806
1205,1.762,0.03859
1210,1.759,0.03912
1215,1.757,0.03966
