Wavelength (nm),ITOsput4pt9E20_n,ITOsput4pt9E20_k
250,2.323,0.3236
255,2.316,0.3012
260,2.309,0.2799
265,2.301,0.2597
270,2.292,0.2405
275,2.284,0.2223
280,2.275,0.2051
285,2.265,0.1888
290,2.256,0.1734
295,2.246,0.1588
300,2.236,0.145
305,2.226,0.1321
310,2.216,0.1199
315,2.205,0.1084
320,2.195,0.09763
325,2.185,0.08757
330,2.174,0.07816
335,2.164,0.0694
340,2.153,0.06127
345,2.143,0.05374
350,2.132,0.0468
355,2.122,0.04043
360,2.112,0.03462
365,2.101,0.02935
370,2.091,0.02461
375,2.081,0.02038
380,2.071,0.01665
385,2.062,0.01341
390,2.052,0.01064
395,2.043,0.00835
400,2.034,0.00651
405,2.025,0.00511
410,2.016,0.00415
415,2.008,0.00362
420,2,0.0035
425,1.993,0.00364
430,1.986,0.00378
435,1.979,0.00392
440,1.973,0.00407
445,1.967,0.00422
450,1.961,0.00438
455,1.956,0.00454
460,1.95,0.00471
465,1.945,0.00488
470,1.94,0.00505
475,1.935,0.00522
480,1.93,0.0054
485,1.925,0.00559
490,1.92,0.00577
495,1.916,0.00597
500,1.911,0.00617
505,1.907,0.00637
510,1.902,0.00657
515,1.898,0.00678
520,1.893,0.007
525,1.889,0.00722
530,1.885,0.00744
535,1.881,0.00767
540,1.876,0.00791
545,1.872,0.00814
550,1.868,0.00839
555,1.864,0.00864
560,1.86,0.00889
565,1.856,0.00915
570,1.852,0.00942
575,1.848,0.00969
580,1.844,0.00996
585,1.84,0.01024
590,1.836,0.01053
595,1.832,0.01082
600,1.828,0.01112
605,1.824,0.01143
610,1.82,0.01174
615,1.816,0.01205
620,1.812,0.01237
625,1.808,0.0127
630,1.804,0.01304
635,1.801,0.01338
640,1.797,0.01372
645,1.793,0.01408
650,1.789,0.01444
655,1.785,0.01481
660,1.781,0.01518
665,1.777,0.01556
670,1.773,0.01595
675,1.769,0.01634
680,1.765,0.01675
685,1.761,0.01716
690,1.757,0.01757
695,1.753,0.018
700,1.749,0.01843
705,1.745,0.01887
710,1.741,0.01932
715,1.737,0.01977
720,1.733,0.02024
725,1.729,0.02071
730,1.724,0.02119
735,1.72,0.02167
740,1.716,0.02217
745,1.712,0.02268
750,1.708,0.02319
755,1.704,0.02371
760,1.699,0.02425
765,1.695,0.02479
770,1.691,0.02534
775,1.687,0.0259
780,1.682,0.02647
785,1.678,0.02705
790,1.674,0.02764
795,1.669,0.02824
800,1.665,0.02884
805,1.66,0.02947
810,1.656,0.0301
815,1.651,0.03074
820,1.647,0.03139
825,1.642,0.03205
830,1.638,0.03272
835,1.633,0.03341
840,1.628,0.03411
845,1.624,0.03481
850,1.619,0.03553
855,1.614,0.03627
860,1.61,0.03701
865,1.605,0.03777
870,1.6,0.03854
875,1.595,0.03932
880,1.59,0.04011
885,1.586,0.04092
890,1.581,0.04175
895,1.576,0.04258
900,1.571,0.04343
905,1.566,0.0443
910,1.561,0.04518
