Wavelength (nm),IZOpvlab_n,IZOpvlab_k
250.05041,2.62228,0.69711
255.03908,2.62639,0.6606
260.01258,2.62893,0.62527
265.01389,2.63002,0.59114
270.03484,2.62979,0.5582
275.00554,2.62834,0.52644
280.03613,2.62579,0.49585
285.05747,2.62222,0.46643
290.05848,2.61773,0.43814
295.02736,2.6124,0.41097
300.0242,2.6063,0.38491
305.04305,2.5995,0.35991
310.07752,2.59207,0.33597
315.04065,2.58406,0.31305
320,2.57553,0.29114
325.03277,2.56654,0.27021
330.05057,2.55712,0.25023
335.04458,2.54732,0.23118
340.00548,2.53719,0.21305
345.01948,2.52676,0.19579
350.0847,2.51606,0.1794
354.99571,2.50513,0.16386
360.04646,2.494,0.14914
365.02797,2.48271,0.13522
370.03879,2.47126,0.12208
375.07562,2.45971,0.10971
380.01839,2.44806,0.09809
385.09317,2.43634,0.08721
390.05977,2.42458,0.07704
395.03026,2.4128,0.06757
400,2.40103,0.05878
405.09637,2.38928,0.05067
410.05291,2.37757,0.04322
414.99331,2.36593,0.03641
420.0542,2.35439,0.03024
425.09427,2.34295,0.0247
430.10753,2.33166,0.01976
435.08772,2.32053,0.01543
440.02839,2.30959,0.01168
445.08256,2.29886,0.00852
450.09074,2.28839,0.00593
455.04587,2.27821,0.0039
460.11132,2.26837,0.00243
465.11628,2.25893,0.00149
470.05307,2.24999,0.0011
475.09579,2.24178,0.00111
480.06194,2.23422,0.00115
485.13302,2.2271,0.00119
490.11858,2.22035,0.00123
495.00998,2.21392,0.00127
500,2.20776,0.00131
505.09165,2.20185,0.00135
510.07816,2.19616,0.0014
515.1641,2.19067,0.00144
520.13423,2.18537,0.00149
524.97883,2.18023,0.00153
530.14109,2.17524,0.00158
535.17479,2.1704,0.00163
540.06969,2.16568,0.00168
545.05495,2.1611,0.00173
550.1331,2.15662,0.00178
555.05819,2.15225,0.00184
560.07227,2.14798,0.00189
565.17776,2.1438,0.00195
570.11494,2.13971,0.002
575.13915,2.1357,0.00206
579.98129,2.13176,0.00212
585.18169,2.1279,0.00218
590.19515,2.1241,0.00224
595.0096,2.12037,0.0023
600.19361,2.11669,0.00236
605.17326,2.11307,0.00242
609.93606,2.10951,0.00249
615.07937,2.10599,0.00256
620,2.10252,0.00262
625,2.0991,0.00269
630.0813,2.09571,0.00276
634.92063,2.09237,0.00283
640.1652,2.08906,0.0029
645.16129,2.08578,0.00298
650.23597,2.08254,0.00305
655.0449,2.07933,0.00313
659.92549,2.07615,0.0032
665.23605,2.07299,0.00328
669.90816,2.06986,0.00336
675.01361,2.06676,0.00344
680.19748,2.06368,0.00352
685.08287,2.06061,0.00361
690.03895,2.05757,0.00369
695.06726,2.05455,0.00378
700.1694,2.05154,0.00387
704.94599,2.04855,0.00396
710.19473,2.04558,0.00405
715.10957,2.04262,0.00414
720.09292,2.03967,0.00423
725.1462,2.03673,0.00433
730.27091,2.03381,0.00442
735.0326,2.0309,0.00452
740.29851,2.02799,0.00462
745.19231,2.02509,0.00472
750.15124,2.02221,0.00482
755.17661,2.01932,0.00493
760.26977,2.01645,0.00503
764.9599,2.01358,0.00514
770.18634,2.01071,0.00525
775,2.00785,0.00536
779.87421,2.005,0.00547
785.30716,2.00214,0.00558
790.3123,1.99929,0.0057
794.87179,1.99644,0.00582
800,1.99359,0.00594
805.19481,1.99075,0.00606
809.92815,1.9879,0.00618
815.25312,1.98505,0.0063
820.10582,1.9822,0.00643
825.01663,1.97935,0.00656
829.98661,1.9765,0.00669
835.01684,1.97365,0.00682
840.1084,1.9708,0.00695
845.26244,1.96794,0.00709
849.89719,1.96508,0.00722
855.17241,1.96221,0.00736
859.91678,1.95934,0.0075
865.31752,1.95647,0.00764
870.17544,1.95359,0.00779
875.08821,1.95071,0.00794
880.05678,1.94782,0.00809
885.08208,1.94493,0.00824
890.16511,1.94203,0.00839
895.30686,1.93912,0.00854
899.85486,1.93621,0.0087
905.10949,1.93329,0.00886
910.42584,1.93036,0.00902
915.12915,1.92743,0.00918
919.88131,1.92448,0.00935
925.37313,1.92153,0.00952
930.23256,1.91857,0.00969
935.14329,1.91561,0.00986
940.10614,1.91263,0.01003
945.12195,1.90965,0.01021
950.19157,1.90665,0.01039
955.31587,1.90365,0.01057
959.75232,1.90063,0.01075
964.98054,1.89761,0.01094
970.26604,1.89458,0.01113
974.84277,1.89153,0.01132
980.23715,1.88848,0.01151
984.90866,1.88541,0.01171
990.41534,1.88233,0.01191
995.18459,1.87924,0.01211
1000,1.87614,0.01231
1004.86224,1.87303,0.01252
1009.77199,1.86991,0.01273
1014.72995,1.86677,0.01294
1019.73684,1.86362,0.01315
1024.79339,1.86046,0.01337
1029.90033,1.85729,0.01359
1035.05843,1.8541,0.01381
1040.26846,1.8509,0.01404
1045.5312,1.84769,0.01426
1049.95766,1.84446,0.01449
1055.31915,1.84122,0.01473
1059.82906,1.83796,0.01496
1065.2921,1.83469,0.0152
1069.88783,1.83141,0.01545
1075.45533,1.82811,0.01569
1080.13937,1.8248,0.01594
1084.86439,1.82148,0.01619
1090.58927,1.81813,0.01645
1095.40636,1.81478,0.01671
1100.26619,1.8114,0.01697
1105.16934,1.80802,0.01723
1110.11638,1.80461,0.0175
1115.10791,1.8012,0.01777
1120.14453,1.79776,0.01804
1125.22686,1.79431,0.01832
1130.35552,1.79084,0.0186
1135.53114,1.78736,0.01888
1139.70588,1.78386,0.01917
1144.96768,1.78034,0.01946
1150.27829,1.7768,0.01976
1155.6384,1.77325,0.02006
1159.96258,1.76968,0.02036
1165.41353,1.7661,0.02066
1169.81132,1.76249,0.02098
1175.35545,1.75887,0.02129
1179.82873,1.75523,0.0216
1185.46845,1.75157,0.02193
1190.01919,1.74789,0.02225
1194.60501,1.7442,0.02258
1200.38722,1.74048,0.02291
1205.05345,1.73675,0.02325
1209.7561,1.733,0.02359
1215.68627,1.72923,0.02394
1220.47244,1.72544,0.02429
1225.29644,1.72162,0.02464
1230.15873,1.71779,0.025
1235.05976,1.71394,0.02536
1240,1.71007,0.02573
1244.97992,1.70618,0.0261
1250,1.70227,0.02647
1255.06073,1.69834,0.02685
1260.1626,1.69439,0.02724
1265.30612,1.69041,0.02763
1270.4918,1.68642,0.02802
1275.72016,1.6824,0.02842
1279.66976,1.67836,0.02883
1284.97409,1.6743,0.02923
1290.32258,1.67022,0.02965
1295.71578,1.66611,0.03007
1299.79036,1.66199,0.03049
1305.26316,1.65784,0.03092
1310.78224,1.65366,0.03136
1314.95228,1.64947,0.0318
1320.55378,1.64525,0.03224
1324.78632,1.64101,0.03269
1330.4721,1.63674,0.03315
1334.76857,1.63245,0.03361
1340.54054,1.62814,0.03408
