Wavelength (nm),IZrO_n,IZrO_k
250.03185889815,2.435887,0.559692
255.032521788313,2.436348,0.524717
260.033137448693,2.435306,0.491015
265.033773638501,2.43289,0.458591
270.034431567722,2.429221,0.427444
275.035066971039,2.424408,0.397568
280.035691000488,2.418555,0.368951
285.036372020278,2.411759,0.341579
290.036972696995,2.404108,0.315436
295.037610157288,2.395685,0.290502
300.038279077218,2.386566,0.266757
305.038923212601,2.376822,0.244181
310.03953004008,2.36652,0.22275
315.040170162342,2.355721,0.202443
320.040800040057,2.344483,0.183237
325.041455892137,2.33286,0.165111
330.042051083589,2.320903,0.148043
335.042681465466,2.30866,0.132012
340.043339072022,2.296177,0.116997
345.043958322029,2.283497,0.102978
350.044673039926,2.270663,0.089936
355.045308362577,2.257714,0.077852
360.045934892661,2.244691,0.06671
365.046556683634,2.231631,0.056492
370.047186984844,2.218574,0.047181
375.047826159283,2.205559,0.038763
380.048437786377,2.192624,0.031223
385.049042516556,2.179811,0.024546
390.04970617304,2.16716,0.018719
395.050400785003,2.154719,0.013729
400.05097423704,2.142536,0.009563
405.051647351583,2.130667,0.006209
410.052232056495,2.119177,0.003656
415.052897487625,2.108147,0.00189
420.053489069294,2.097691,0.0009
425.054202980521,2.088042,0.000663
430.054870145972,2.079445,0.00069
435.055509925406,2.071539,0.000717
440.05602906925,2.064167,0.000744
445.05667653209,2.057239,0.000773
450.057418615827,2.050693,0.000802
455.058062105884,2.044482,0.000831
460.058739112562,2.038569,0.000861
465.059236920303,2.032924,0.000892
470.060019841082,2.027521,0.000924
475.060656434218,2.022338,0.000956
480.061200060085,2.017357,0.000989
485.061855166007,2.012562,0.001022
490.062403914176,2.007937,0.001057
495.063142509116,2.00347,0.001092
500.0637177963,1.99915,0.001128
505.064493477336,1.994966,0.001164
510.064938670861,1.990908,0.001202
515.065670873036,1.986969,0.00124
520.066383957462,1.98314,0.001279
525.066861336617,1.979414,0.001318
530.067660572029,1.975785,0.001359
535.068335562065,1.972247,0.0014
540.068745524834,1.968795,0.001442
545.069560106886,1.965423,0.001485
550.070133942078,1.962126,0.001529
555.070863300818,1.958901,0.001574
560.071508484858,1.955743,0.001619
565.072160626319,1.952648,0.001665
570.072744040556,1.949613,0.001713
575.073263870048,1.946634,0.001761
580.074081073773,1.943709,0.00181
585.07455925956,1.940834,0.00186
590.075220314577,1.938007,0.001911
595.075843376038,1.935225,0.001962
600.076558154435,1.932486,0.002015
605.077281543923,1.929787,0.002069
610.077696346619,1.927127,0.002123
615.078449784053,1.924503,0.002179
620.07906008016,1.921913,0.002236
625.079710265472,1.919356,0.002293
630.080340324684,1.91683,0.002352
635.080949773804,1.914333,0.002411
