Wavelength (nm),IZrOasdep_n,IZrOasdep_k
250.03185889815,2.467843,0.645696
255.032521788313,2.471278,0.611102
260.033137448693,2.473216,0.577644
265.033773638501,2.473781,0.545329
270.034431567722,2.473087,0.514154
275.035066971039,2.471242,0.484116
280.035691000488,2.468342,0.455202
285.036372020278,2.464479,0.4274
290.036972696995,2.459739,0.400692
295.037610157288,2.454198,0.37506
300.038279077218,2.447928,0.350484
305.038923212601,2.440996,0.326943
310.03953004008,2.433464,0.304414
315.040170162342,2.425388,0.282875
320.040800040057,2.41682,0.262304
325.041455892137,2.407811,0.242677
330.042051083589,2.398404,0.223973
335.042681465466,2.388642,0.206169
340.043339072022,2.378565,0.189244
345.043958322029,2.368208,0.173178
350.044673039926,2.357607,0.157949
355.045308362577,2.346793,0.143538
360.045934892661,2.335798,0.129927
365.046556683634,2.324649,0.117096
370.047186984844,2.313375,0.105029
375.047826159283,2.302001,0.093708
380.048437786377,2.290554,0.083117
385.049042516556,2.279057,0.073241
390.04970617304,2.267534,0.064066
395.050400785003,2.256009,0.055577
400.05097423704,2.244504,0.04776
405.051647351583,2.233043,0.040604
410.052232056495,2.221649,0.034095
415.052897487625,2.210346,0.028222
420.053489069294,2.199158,0.022973
425.054202980521,2.18811,0.018339
430.054870145972,2.177229,0.014309
435.055509925406,2.166545,0.010872
440.05602906925,2.15609,0.008019
445.05667653209,2.145901,0.005741
450.057418615827,2.136021,0.004028
455.058062105884,2.126506,0.002871
460.058739112562,2.117435,0.002262
465.059236920303,2.10898,0.002177
470.060019841082,2.101286,0.002256
475.060656434218,2.094098,0.002337
480.061200060085,2.087308,0.002419
485.061855166007,2.080852,0.002503
490.062403914176,2.074686,0.002589
495.063142509116,2.068776,0.002677
500.0637177963,2.063094,0.002766
505.064493477336,2.057619,0.002858
510.064938670861,2.052331,0.002951
515.065670873036,2.047214,0.003046
520.066383957462,2.042255,0.003143
525.066861336617,2.03744,0.003242
530.067660572029,2.032758,0.003343
535.068335562065,2.0282,0.003446
540.068745524834,2.023757,0.003551
545.069560106886,2.01942,0.003658
550.070133942078,2.015183,0.003768
555.070863300818,2.011039,0.003879
560.071508484858,2.006981,0.003993
565.072160626319,2.003004,0.004109
570.072744040556,1.999103,0.004227
575.073263870048,1.995273,0.004347
580.074081073773,1.99151,0.00447
585.07455925956,1.987809,0.004595
590.075220314577,1.984168,0.004722
