Wavelength (nm),MgF2_n,MgF2_k
250,1.409,0.00822
255,1.405,0.007371
260,1.401,0.006687
265,1.398,0.006128
270,1.395,0.005665
275,1.393,0.005278
280,1.39,0.004952
285,1.388,0.004674
290,1.387,0.004437
295,1.385,0.004233
300,1.384,0.004057
305,1.382,0.003904
310,1.381,0.003771
315,1.38,0.003656
320,1.379,0.003555
325,1.378,0.003468
330,1.377,0.003391
335,1.376,0.003324
340,1.376,0.003267
345,1.375,0.003216
350,1.374,0.003173
355,1.374,0.003136
360,1.373,0.003105
365,1.372,0.003079
370,1.372,0.003057
375,1.371,0.003039
380,1.371,0.003025
385,1.371,0.003015
390,1.37,0.003007
395,1.37,0.003003
400,1.369,0.003001
405,1.369,0.003002
410,1.369,0.003005
415,1.368,0.00301
420,1.368,0.003017
425,1.368,0.003026
430,1.368,0.003036
435,1.367,0.003048
440,1.367,0.003062
445,1.367,0.003077
450,1.367,0.003093
455,1.366,0.00311
460,1.366,0.003129
465,1.366,0.003148
470,1.366,0.003169
475,1.365,0.00319
480,1.365,0.003213
485,1.365,0.003236
490,1.365,0.00326
495,1.365,0.003285
500,1.365,0.00331
505,1.364,0.003336
510,1.364,0.003363
515,1.364,0.003391
520,1.364,0.003419
525,1.364,0.003447
530,1.364,0.003476
535,1.364,0.003506
540,1.363,0.003536
545,1.363,0.003566
550,1.363,0.003597
555,1.363,0.003628
560,1.363,0.00366
565,1.363,0.003692
570,1.363,0.003724
575,1.363,0.003757
580,1.363,0.00379
585,1.363,0.003823
590,1.362,0.003857
595,1.362,0.003891
600,1.362,0.003925
605,1.362,0.003959
610,1.362,0.003994
615,1.362,0.004029
620,1.362,0.004064
625,1.362,0.004099
630,1.362,0.004134
635,1.362,0.00417
640,1.362,0.004206
645,1.362,0.004242
650,1.362,0.004278
655,1.361,0.004315
660,1.361,0.004351
665,1.361,0.004388
670,1.361,0.004425
675,1.361,0.004462
680,1.361,0.004499
685,1.361,0.004536
690,1.361,0.004573
695,1.361,0.004611
700,1.361,0.004648
705,1.361,0.004686
710,1.361,0.004724
715,1.361,0.004761
720,1.361,0.004799
725,1.361,0.004837
730,1.361,0.004876
735,1.361,0.004914
740,1.361,0.004952
745,1.361,0.00499
750,1.361,0.005029
755,1.36,0.005067
760,1.36,0.005106
765,1.36,0.005144
770,1.36,0.005183
775,1.36,0.005222
780,1.36,0.005261
785,1.36,0.0053
790,1.36,0.005338
795,1.36,0.005377
800,1.36,0.005416
805,1.36,0.005455
810,1.36,0.005494
815,1.36,0.005534
820,1.36,0.005573
825,1.36,0.005612
830,1.36,0.005651
835,1.36,0.00569
840,1.36,0.00573
845,1.36,0.005769
850,1.36,0.005808
855,1.36,0.005848
860,1.36,0.005887
865,1.36,0.005927
870,1.36,0.005966
875,1.36,0.006006
880,1.36,0.006045
885,1.36,0.006085
890,1.36,0.006124
895,1.36,0.006164
900,1.36,0.006203
905,1.36,0.006243
910,1.36,0.006283
915,1.36,0.006322
920,1.36,0.006362
925,1.36,0.006401
930,1.359,0.006441
935,1.359,0.006481
940,1.359,0.006521
945,1.359,0.00656
950,1.359,0.0066
955,1.359,0.00664
960,1.359,0.006679
965,1.359,0.006719
970,1.359,0.006759
975,1.359,0.006799
980,1.359,0.006838
985,1.359,0.006878
990,1.359,0.006918
995,1.359,0.006958
1000,1.359,0.006997
1005,1.359,0.007037
1010,1.359,0.007077
1015,1.359,0.007117
1020,1.359,0.007157
1025,1.359,0.007196
1030,1.359,0.007236
1035,1.359,0.007276
1040,1.359,0.007316
1045,1.359,0.007355
1050,1.359,0.007395
1055,1.359,0.007435
1060,1.359,0.007475
1065,1.359,0.007515
1070,1.359,0.007554
1075,1.359,0.007594
1080,1.359,0.007634
1085,1.359,0.007674
1090,1.359,0.007713
1095,1.359,0.007753
1100,1.359,0.007793
1105,1.359,0.007833
1110,1.359,0.007872
1115,1.359,0.007912
1120,1.359,0.007952
1125,1.359,0.007992
1130,1.359,0.008031
1135,1.359,0.008071
1140,1.359,0.008111
1145,1.359,0.008151
1150,1.359,0.00819
1155,1.359,0.00823
1160,1.359,0.00827
1165,1.359,0.00831
1170,1.359,0.008349
1175,1.359,0.008389
1180,1.359,0.008429
