Wavelength (nm),MoOxALD_n,MoOxALD_k
246.2,2.127,0.9015
247.8,2.142,0.8962
249.4,2.156,0.8905
251,2.171,0.8846
252.6,2.185,0.8783
254.2,2.199,0.8716
255.7,2.213,0.8646
257.3,2.226,0.8574
258.9,2.24,0.8498
260.5,2.253,0.8419
262.1,2.266,0.8337
263.7,2.278,0.8252
265.3,2.291,0.8164
266.9,2.303,0.8074
268.4,2.314,0.7981
270,2.326,0.7886
271.6,2.337,0.7788
273.2,2.348,0.7689
274.8,2.359,0.7586
276.4,2.369,0.7482
278,2.379,0.7376
279.6,2.389,0.7269
281.1,2.398,0.7159
282.7,2.407,0.7048
284.3,2.416,0.6936
285.9,2.424,0.6822
287.5,2.432,0.6707
289.1,2.44,0.6591
290.7,2.447,0.6473
292.3,2.454,0.6355
293.8,2.461,0.6237
295.4,2.467,0.6117
297,2.473,0.5997
298.6,2.478,0.5877
300.2,2.484,0.5756
301.8,2.489,0.5635
303.4,2.493,0.5514
305,2.498,0.5393
306.5,2.502,0.5272
308.1,2.505,0.5151
309.7,2.509,0.5031
311.3,2.512,0.4911
312.9,2.514,0.4792
314.5,2.517,0.4673
316.1,2.519,0.4554
317.7,2.521,0.4437
319.2,2.522,0.432
320.8,2.523,0.4204
322.4,2.524,0.4089
324,2.525,0.3975
325.6,2.526,0.3863
327.2,2.526,0.3751
328.8,2.526,0.3641
330.4,2.525,0.3531
332,2.525,0.3424
333.5,2.524,0.3317
335.1,2.523,0.3212
336.7,2.522,0.3108
338.3,2.52,0.3006
339.9,2.519,0.2906
341.5,2.517,0.2807
343.1,2.515,0.2709
344.7,2.513,0.2613
346.2,2.51,0.2519
347.8,2.508,0.2427
349.4,2.505,0.2336
351,2.502,0.2247
352.6,2.499,0.2159
354.2,2.496,0.2074
355.8,2.493,0.199
357.4,2.489,0.1908
359,2.486,0.1828
360.5,2.482,0.1749
362.1,2.478,0.1672
363.7,2.474,0.1597
365.3,2.47,0.1524
