Wavelength (nm),NiOCSEM300DegAnn_n,NiOCSEM300DegAnn_k
381.279053,2.127086,0.09161
382.451416,2.123633,0.089025
383.631012,2.120209,0.086514
384.817902,2.116813,0.084073
386.012146,2.113445,0.081701
387.213837,2.110104,0.079396
388.423035,2.10679,0.077156
389.639801,2.103502,0.074979
390.864197,2.10024,0.072864
392.096375,2.097003,0.070808
393.336273,2.093791,0.068811
394.584076,2.090604,0.066869
395.839813,2.087441,0.064983
397.103577,2.084301,0.06315
398.375427,2.081184,0.061368
399.655457,2.07809,0.059637
400.943726,2.075018,0.057954
402.240326,2.071968,0.056319
403.545349,2.068939,0.05473
404.858887,2.065931,0.053186
406.180969,2.062944,0.051686
407.511749,2.059977,0.050227
408.851257,2.05703,0.04881
410.199615,2.054102,0.047433
411.556824,2.051193,0.046095
412.923157,2.048303,0.044795
414.298523,2.045431,0.043531
415.683105,2.042578,0.042303
417.076965,2.039742,0.041109
418.480164,2.036922,0.03995
419.892883,2.034121,0.038822
421.315186,2.031335,0.037727
422.747131,2.028566,0.036663
424.188812,2.025812,0.035628
425.640442,2.023075,0.034623
427.10199,2.020352,0.033646
428.573578,2.017645,0.032697
430.05542,2.014952,0.031775
431.547516,2.012274,0.030878
433.049957,2.00961,0.030007
434.562927,2.006959,0.029161
436.086517,2.004322,0.028338
437.620789,2.001699,0.027538
439.165955,1.999088,0.026761
440.722015,1.99649,0.026006
442.289215,1.993905,0.025273
443.867523,1.991332,0.02456
445.457214,1.98877,0.023867
447.058289,1.986221,0.023194
448.670898,1.983683,0.022539
450.295227,1.981156,0.021903
451.931305,1.97864,0.021285
453.579346,1.976135,0.020685
455.23941,1.973641,0.020101
456.911713,1.971157,0.019534
458.596344,1.968683,0.018983
460.293396,1.966219,0.018448
462.003113,1.963765,0.017927
463.725586,1.961321,0.017421
465.460938,1.958886,0.01693
467.20929,1.95646,0.016452
468.970856,1.954042,0.015988
470.745758,1.951634,0.015537
472.534119,1.949235,0.015099
474.336121,1.946844,0.014673
476.151947,1.944461,0.014259
477.98175,1.942086,0.013856
479.825623,1.939719,0.013465
481.683777,1.937361,0.013086
483.556396,1.93501,0.012716
485.443665,1.932666,0.012358
487.345642,1.93033,0.012009
489.262634,1.928001,0.01167
491.194763,1.925679,0.011341
493.142242,1.923365,0.011021
495.105164,1.921057,0.01071
497.083832,1.918756,0.010408
499.078369,1.916461,0.010114
501.088959,1.914173,0.009829
503.115814,1.911892,0.009552
505.159119,1.909617,0.009282
507.219086,1.907348,0.00902
509.295959,1.905085,0.008766
511.389893,1.902829,0.008519
513.501099,1.900578,0.008278
515.629822,1.898333,0.008045
517.776245,1.896094,0.007818
519.940674,1.893861,0.007597
