Wavelength (nm),Pk15eVCsFA_n,Pk15eVCsFA_k
2066.33333333333,1.99564,0
1907.38461538462,2.00301,0
1771.14285714286,2.01082,0
1653.06666666667,2.0191,0
1549.75,2.02793,0
1458.58823529412,2.03736,0
1377.55555555556,2.04747,0
1305.05263157895,2.05836,0
1239.8,2.07013,0
1180.7619047619,2.08292,0
1127.09090909091,2.09689,0
1078.08695652174,2.11223,0
1033.16666666667,2.12916,0
991.84,2.14795,0
953.692307692308,2.16887,0
918.37037037037,2.1922,0.000618
885.571428571429,2.21813,0.00346
855.034482758621,2.24658,0.00963
826.533333333333,2.27699,0.02049
799.870967741935,2.30794,0.03743
774.875,2.33692,0.06125
751.393939393939,2.36067,0.09116
729.294117647059,2.3765,0.12416
708.457142857143,2.384,0.15577
688.777777777778,2.38569,0.18207
670.162162162162,2.38574,0.20155
652.526315789474,2.38795,0.21517
635.794871794872,2.39472,0.22524
619.9,2.40711,0.23439
604.780487804878,2.42526,0.24503
590.380952380952,2.4488,0.25944
576.651162790698,2.47695,0.27987
563.545454545455,2.5083,0.30878
551.022222222222,2.54028,0.34883
539.04347826087,2.56843,0.40234
527.574468085106,2.58571,0.46969
516.583333333333,2.58335,0.54653
506.040816326531,2.55524,0.62133
495.92,2.50477,0.67839
486.196078431373,2.44662,0.70769
476.846153846154,2.39792,0.71213
467.849056603774,2.3681,0.70353
459.185185185185,2.3574,0.6939
450.836363636364,2.36125,0.69104
442.785714285714,2.37408,0.69874
435.017543859649,2.39098,0.7183
427.51724137931,2.40785,0.74975
420.271186440678,2.42123,0.79245
413.266666666667,2.42798,0.84521
406.491803278689,2.42529,0.90629
399.935483870968,2.41063,0.97323
393.587301587302,2.3821,1.04284
387.4375,2.33867,1.11127
381.476923076923,2.28057,1.17432
375.69696969697,2.20944,1.22789
370.089552238806,2.12823,1.26864
364.647058823529,2.04086,1.29441
359.36231884058,1.95159,1.30455
354.228571428571,1.86441,1.29982
349.239436619718,1.78258,1.28208
344.388888888889,1.70835,1.25385
339.671232876712,1.64297,1.21784
335.081081081081,1.58682,1.17662
330.613333333333,1.53964,1.13239
326.263157894737,1.50075,1.08694
322.025974025974,1.46928,1.0416
317.897435897436,1.44425,0.99733
313.873417721519,1.42471,0.95475
309.95,1.4098,0.91427
306.026582278481,1.39489,0.87379
302.103164556962,1.37998,0.83331
298.179746835443,1.36507,0.79283
294.256329113924,1.35016,0.75235
290.332911392405,1.33525,0.71187
