Wavelength (nm),PkCsCl12-01_n,PkCsCl12-01_k
2066.66666666667,2.053881,0
1907.69230769231,2.058489,0
1771.42857142857,2.063302,0
1653.33333333333,2.068336,0
1550,2.073606,0
1458.82352941176,2.079131,0
1377.77777777778,2.084931,0
1305.26315789474,2.091027,0
1240,2.097446,0
1180.95238095238,2.104215,0
1127.27272727273,2.111369,0
1078.26086956522,2.118944,0
1033.33333333333,2.126987,0
992,2.135553,0
953.846153846154,2.144709,0
918.518518518518,2.154543,0
885.714285714286,2.165171,0
855.172413793103,2.176763,0
826.666666666667,2.189573,0
800,2.204031,0
775,2.220932,0
751.515151515152,2.241937,0
729.411764705882,2.270976,0
708.571428571429,2.318232,0
688.888888888889,2.403176,0.009086
670.27027027027,2.474188,0.10739
652.631578947368,2.427623,0.185554
635.897435897436,2.3925,0.186673
620,2.389573,0.176542
604.878048780488,2.402099,0.170757
590.47619047619,2.422349,0.170682
576.744186046512,2.447134,0.176185
563.636363636364,2.474807,0.187358
551.111111111111,2.504119,0.204599
539.130434782609,2.533713,0.228452
527.659574468085,2.561878,0.259358
516.666666666667,2.586473,0.297319
506.122448979592,2.605081,0.341522
496,2.615452,0.390034
486.274509803922,2.616185,0.439829
476.923076923077,2.607377,0.487301
467.924528301887,2.590843,0.529186
459.259259259259,2.569686,0.563484
450.909090909091,2.547383,0.589884
442.857142857143,2.526895,0.609559
435.087719298246,2.510157,0.624577
427.586206896552,2.498006,0.63727
420.338983050847,2.490383,0.649804
413.333333333333,2.486605,0.663965
406.55737704918,2.485604,0.681105
400,2.48608,0.702157
393.650793650794,2.486601,0.72766
387.5,2.485667,0.757775
381.538461538462,2.481763,0.792278
375.757575757576,2.473432,0.830546
370.149253731343,2.459377,0.871544
364.705882352941,2.438587,0.91385
359.420289855072,2.41047,0.955731
354.285714285714,2.374968,0.995277
349.295774647887,2.332615,1.0306
344.444444444444,2.284514,1.060039
339.72602739726,2.232214,1.082361
335.135135135135,2.177523,1.096876
330.666666666667,2.122293,1.103476
326.315789473684,2.068216,1.102572
322.077922077922,2.016689,1.094969
317.948717948718,1.968733,1.081715
313.924050632911,1.924995,1.063956
310,1.885787,1.042816
