Wavelength (nm),PkCsI15-10_n,PkCsI15-10_k
2066.66666666667,1.941264,0
1907.69230769231,1.947253,0
1771.42857142857,1.953698,0
1653.33333333333,1.960668,0
1550,1.968251,0
1458.82352941176,1.976551,0
1377.77777777778,1.985694,0
1305.26315789474,1.995832,0
1240,2.007143,0
1180.95238095238,2.019828,0
1127.27272727273,2.034105,0
1078.26086956522,2.050185,0
1033.33333333333,2.068226,0
992,2.088259,0
953.846153846154,2.110094,0.001162
918.518518518518,2.133209,0.005362
885.714285714286,2.156696,0.013145
855.172413793103,2.179354,0.024627
826.666666666667,2.199942,0.039315
800,2.217564,0.056129
775,2.231958,0.073687
751.515151515152,2.243542,0.090704
729.411764705882,2.253214,0.106306
708.571428571429,2.262043,0.120135
688.888888888889,2.271037,0.132272
670.27027027027,2.281017,0.143097
652.631578947368,2.292605,0.153159
635.897435897436,2.306254,0.163106
620,2.322295,0.173659
604.878048780488,2.34096,0.185645
590.47619047619,2.362383,0.200054
576.744186046512,2.386521,0.218136
563.636363636364,2.412991,0.241504
551.111111111111,2.440707,0.272194
539.130434782609,2.467254,0.31249
527.659574468085,2.488047,0.364077
516.666666666667,2.495976,0.425882
506.122448979592,2.483603,0.490838
496,2.449609,0.545361
486.274509803922,2.404409,0.577009
476.923076923077,2.364756,0.584989
467.924528301887,2.341594,0.579575
459.259259259259,2.336061,0.572632
450.909090909091,2.343869,0.571797
442.857142857143,2.359812,0.580494
435.087719298246,2.379518,0.599762
427.586206896552,2.399571,0.629601
420.338983050847,2.417157,0.669586
413.333333333333,2.429729,0.719015
406.55737704918,2.434829,0.776836
400,2.430067,0.841479
393.650793650794,2.41326,0.910691
387.5,2.382721,0.981458
381.538461538462,2.337621,1.0501
375.757575757576,2.278335,1.112572
370.149253731343,2.206627,1.164975
364.705882352941,2.125553,1.204149
359.420289855072,2.039068,1.228177
354.285714285714,1.951417,1.236627
349.295774647887,1.866514,1.230471
344.444444444444,1.787467,1.211737
339.72602739726,1.716358,1.183033
335.135135135135,1.654253,1.147102
330.666666666667,1.601371,1.106487
326.315789473684,1.55733,1.063342
322.077922077922,1.521371,1.01936
317.948717948718,1.492554,0.975794
313.924050632911,1.469889,0.933512
310,1.452424,0.893075
