Wavelength (nm),SiOxPECVD_n,SiOxPECVD_k
191.9,1.593,0
193.5,1.593,0
195.1,1.592,0
196.6,1.592,0
198.2,1.591,0
199.8,1.591,0
201.4,1.59,0
203,1.59,0
204.6,1.589,0
206.2,1.588,0
207.7,1.588,0
209.3,1.587,0
210.9,1.586,0
212.5,1.585,0
214.1,1.585,0
215.7,1.584,0
217.2,1.583,0
218.8,1.582,0
220.4,1.581,0
222,1.581,0
223.6,1.58,0
225.2,1.579,0
226.8,1.578,0
228.3,1.577,0
229.9,1.576,0
231.5,1.575,0
233.1,1.575,0
234.7,1.574,0
236.3,1.573,0
237.9,1.572,0
239.4,1.571,0
241,1.57,0
242.6,1.569,0
244.2,1.568,0
245.8,1.568,0
247.4,1.567,0
249,1.566,0
250.6,1.565,0
252.1,1.564,0
253.7,1.563,0
255.3,1.562,0
256.9,1.562,0
258.5,1.561,0
260.1,1.56,0
261.7,1.559,0
263.2,1.558,0
264.8,1.557,0
266.4,1.557,0
268,1.556,0
269.6,1.555,0
271.2,1.554,0
272.8,1.553,0
274.4,1.553,0
275.9,1.552,0
277.5,1.551,0
279.1,1.55,0
280.7,1.549,0
282.3,1.549,0
283.9,1.548,0
285.5,1.547,0
287.1,1.546,0
288.6,1.546,0
290.2,1.545,0
291.8,1.544,0
293.4,1.544,0
295,1.543,0
296.6,1.542,0
298.2,1.541,0
299.8,1.541,0
301.4,1.54,0
302.9,1.539,0
304.5,1.539,0
306.1,1.538,0
307.7,1.537,0
309.3,1.537,0
310.9,1.536,0
312.5,1.535,0
314.1,1.535,0
315.6,1.534,0
317.2,1.534,0
318.8,1.533,0
320.4,1.532,0
322,1.532,0
323.6,1.531,0
325.2,1.531,0
326.8,1.53,0
328.4,1.529,0
329.9,1.529,0
331.5,1.528,0
333.1,1.528,0
334.7,1.527,0
336.3,1.527,0
337.9,1.526,0
339.5,1.526,0
341.1,1.525,0
342.7,1.525,0
344.2,1.524,0
345.8,1.523,0
347.4,1.523,0
349,1.522,0
350.6,1.522,0
352.2,1.521,0
353.8,1.521,0
355.4,1.52,0
357,1.52,0
358.6,1.52,0
360.1,1.519,0
361.7,1.519,0
363.3,1.518,0
364.9,1.518,0
366.5,1.517,0
368.1,1.517,0
369.7,1.516,0
371.3,1.516,0
372.9,1.515,0
374.4,1.515,0
376,1.515,0
377.6,1.514,0
379.2,1.514,0
380.8,1.513,0
382.4,1.513,0
384,1.513,0
385.6,1.512,0
387.2,1.512,0
388.8,1.511,0
390.3,1.511,0
391.9,1.511,0
393.5,1.51,0
395.1,1.51,0
396.7,1.509,0
398.3,1.509,0
399.9,1.509,0
401.5,1.508,0
403.1,1.508,0
404.6,1.508,0
406.2,1.507,0
407.8,1.507,0
409.4,1.507,0
411,1.506,0
412.6,1.506,0
414.2,1.506,0
415.8,1.505,0
417.4,1.505,0
419,1.505,0
420.5,1.504,0
422.1,1.504,0
423.7,1.504,0
425.3,1.503,0
426.9,1.503,0
428.5,1.503,0
430.1,1.502,0
431.7,1.502,0
433.3,1.502,0
434.9,1.501,0
436.4,1.501,0
438,1.501,0
439.6,1.501,0
441.2,1.5,0
442.8,1.5,0
444.4,1.5,0
446,1.499,0
447.6,1.499,0
449.2,1.499,0
450.8,1.499,0
452.3,1.498,0
453.9,1.498,0
455.5,1.498,0
457.1,1.498,0
458.7,1.497,0
460.3,1.497,0
461.9,1.497,0
463.5,1.497,0
465.1,1.496,0
466.6,1.496,0
468.2,1.496,0
469.8,1.496,0
471.4,1.495,0
473,1.495,0
474.6,1.495,0
476.2,1.495,0
477.8,1.494,0
479.4,1.494,0
481,1.494,0
482.5,1.494,0
484.1,1.493,0
485.7,1.493,0
487.3,1.493,0
488.9,1.493,0
490.5,1.493,0
492.1,1.492,0
493.7,1.492,0
495.3,1.492,0
496.8,1.492,0
498.4,1.492,0
500,1.491,0
501.6,1.491,0
503.2,1.491,0
504.8,1.491,0
506.4,1.491,0
508,1.49,0
509.6,1.49,0
511.1,1.49,0
512.7,1.49,0
514.3,1.49,0
515.9,1.489,0
517.5,1.489,0
519.1,1.489,0
520.7,1.489,0
522.3,1.489,0
523.9,1.488,0
525.4,1.488,0
527,1.488,0
528.6,1.488,0
530.2,1.488,0
531.8,1.488,0
533.4,1.487,0
535,1.487,0
536.6,1.487,0
538.2,1.487,0
539.7,1.487,0
541.3,1.487,0
542.9,1.486,0
544.5,1.486,0
546.1,1.486,0
547.7,1.486,0
549.3,1.486,0
550.9,1.486,0
552.4,1.485,0
554,1.485,0
555.6,1.485,0
557.2,1.485,0
558.8,1.485,0
560.4,1.485,0
562,1.484,0
563.6,1.484,0
565.1,1.484,0
566.7,1.484,0
568.3,1.484,0
569.9,1.484,0
571.5,1.484,0
573.1,1.483,0
574.7,1.483,0
576.3,1.483,0
577.8,1.483,0
579.4,1.483,0
