Wavelength (nm),ZnOlowk_n,ZnOlowk_k
250,2.468,0.8464
255,2.484,0.802
260,2.498,0.7579
265,2.509,0.7144
270,2.518,0.6715
275,2.524,0.6294
280,2.528,0.5881
285,2.53,0.5479
290,2.53,0.5087
295,2.528,0.4707
300,2.524,0.4339
305,2.519,0.3984
310,2.512,0.3642
315,2.503,0.3313
320,2.493,0.2999
325,2.482,0.2699
330,2.47,0.2414
335,2.457,0.2144
340,2.442,0.189
345,2.427,0.165
350,2.411,0.1426
355,2.395,0.1218
360,2.378,0.1026
365,2.36,0.08504
370,2.342,0.06906
375,2.324,0.05471
380,2.306,0.042
385,2.287,0.03095
390,2.269,0.02156
395,2.251,0.01386
400,2.233,0.007842
405,2.216,0.003523
410,2.2,0.000908
415,2.185,0.000001
420,2.172,0
425,2.161,0
430,2.151,0
435,2.141,0
440,2.133,0
445,2.124,0
450,2.117,0
455,2.109,0
460,2.103,0
465,2.096,0
470,2.09,0
475,2.085,0
480,2.079,0
485,2.074,0
490,2.069,0
495,2.064,0
500,2.06,0
505,2.055,0
510,2.051,0
515,2.047,0
520,2.044,0
525,2.04,0
530,2.036,0
535,2.033,0
540,2.03,0
545,2.027,0
550,2.024,0
555,2.021,0
560,2.018,0
565,2.015,0
570,2.013,0
575,2.01,0
580,2.008,0
585,2.005,0
590,2.003,0
595,2.001,0
600,1.999,0
605,1.997,0
610,1.995,0
615,1.993,0
620,1.991,0
625,1.989,0
630,1.987,0
635,1.986,0
640,1.984,0
645,1.982,0
650,1.981,0
655,1.979,0
660,1.978,0
665,1.976,0
670,1.975,0
675,1.973,0
680,1.972,0
685,1.971,0
690,1.969,0
695,1.968,0
700,1.967,0
705,1.966,0
710,1.965,0
715,1.964,0
720,1.962,0
725,1.961,0
730,1.96,0
735,1.959,0
740,1.958,0
745,1.957,0
750,1.956,0
755,1.955,0
760,1.954,0
765,1.954,0
770,1.953,0
775,1.952,0
780,1.951,0
785,1.95,0
790,1.949,0
795,1.949,0
800,1.948,0
805,1.947,0
810,1.946,0
815,1.946,0
820,1.945,0
825,1.944,0
830,1.943,0
835,1.943,0
840,1.942,0
845,1.942,0
850,1.941,0
855,1.94,0
860,1.94,0
865,1.939,0
870,1.938,0
875,1.938,0
880,1.937,0
885,1.937,0
890,1.936,0
895,1.936,0
900,1.935,0
905,1.935,0
910,1.934,0
915,1.934,0
