Wavelength (nm),aSip_n,aSip_k
208,1.64,2.467
210.2,1.676,2.486
212.3,1.714,2.505
214.5,1.753,2.524
216.8,1.794,2.542
219.1,1.836,2.561
221.4,1.879,2.578
223.8,1.924,2.595
226.3,1.971,2.612
228.8,2.019,2.628
231.3,2.07,2.643
234,2.122,2.657
236.6,2.176,2.67
239.4,2.231,2.681
242.2,2.289,2.692
245,2.349,2.7
248,2.41,2.707
251,2.474,2.712
254.1,2.539,2.715
257.3,2.607,2.716
260.5,2.676,2.714
263.8,2.747,2.71
267.2,2.82,2.702
270.7,2.895,2.691
274.3,2.97,2.676
278,3.047,2.657
281.8,3.125,2.634
285.7,3.204,2.607
289.7,3.283,2.575
293.8,3.361,2.539
298.1,3.44,2.497
302.4,3.517,2.451
306.9,3.593,2.399
311.5,3.667,2.342
316.3,3.738,2.28
321.2,3.806,2.212
326.3,3.871,2.141
331.5,3.931,2.064
336.9,3.987,1.984
342.5,4.038,1.9
348.3,4.083,1.813
354.3,4.123,1.724
360.4,4.156,1.632
366.8,4.183,1.539
373.5,4.205,1.446
380.4,4.22,1.352
387.5,4.228,1.259
394.9,4.231,1.166
402.6,4.229,1.076
410.6,4.221,0.9867
418.9,4.207,0.9003
427.6,4.189,0.8165
436.6,4.167,0.7359
446,4.14,0.6585
455.9,4.11,0.5847
466.1,4.076,0.5145
476.9,4.039,0.4483
488.2,3.999,0.386
500,3.957,0.3278
512.4,3.913,0.2738
525.4,3.867,0.2241
539.1,3.819,0.1789
553.5,3.77,0.1383
568.8,3.72,0.1023
584.9,3.669,0.0713
601.9,3.618,0.0455
620,3.568,0.0251
639.1,3.518,0.0104
659.5,3.471,0.00199
681.3,3.428,0
704.5,3.393,0
729.4,3.362,0
756.1,3.334,0
784.8,3.309,0
815.7,3.285,0
849.3,3.264,0
850,3.264,0
855,3.264,0
860,3.264,0
865,3.264,0
870,3.264,0
875,3.264,0
880,3.264,0
885,3.264,0
890,3.264,0
895,3.264,0
900,3.264,0
905,3.264,0
910,3.264,0
915,3.264,0
920,3.264,0
925,3.264,0
930,3.264,0
935,3.264,0
940,3.264,0
945,3.264,0
950,3.264,0
955,3.264,0
960,3.264,0
965,3.264,0
970,3.264,0
975,3.264,0
980,3.264,0
985,3.264,0
990,3.264,0
995,3.264,0
1000,3.264,0
1005,3.264,0
1010,3.264,0
1015,3.264,0
1020,3.264,0
1025,3.264,0
1030,3.264,0
1035,3.264,0
1040,3.264,0
1045,3.264,0
1050,3.264,0
1055,3.264,0
1060,3.264,0
1065,3.264,0
1070,3.264,0
1075,3.264,0
1080,3.264,0
1085,3.264,0
1090,3.264,0
1095,3.264,0
1100,3.264,0
1105,3.264,0
1110,3.264,0
1115,3.264,0
1120,3.264,0
1125,3.264,0
1130,3.264,0
1135,3.264,0
1140,3.264,0
1145,3.264,0
1150,3.264,0
1155,3.264,0
1160,3.264,0
1165,3.264,0
1170,3.264,0
1175,3.264,0
1180,3.264,0
1185,3.264,0
1190,3.264,0
1195,3.264,0
1200,3.264,0
1205,3.264,0
1210,3.264,0
1215,3.264,0
1220,3.264,0
1225,3.264,0
1230,3.264,0
1235,3.264,0
1240,3.264,0
1245,3.264,0
1250,3.264,0
1255,3.264,0
1260,3.264,0
1265,3.264,0
1270,3.264,0
1275,3.264,0
1280,3.264,0
1285,3.264,0
1290,3.264,0
1295,3.264,0
1300,3.264,0
1305,3.264,0
1310,3.264,0
