Wavelength (nm),ipaSi_n,ipaSi_k
206.633333333333,1.493977,2.23455
208.36974789916,1.520869,2.250322
210.135593220339,1.548581,2.266013
211.931623931624,1.577143,2.281601
213.758620689655,1.606585,2.29706
215.617391304348,1.63694,2.312363
217.508771929825,1.66824,2.327478
219.433628318584,1.700516,2.342372
221.392857142857,1.733804,2.357009
223.387387387387,1.768136,2.371347
225.418181818182,1.803549,2.385342
227.48623853211,1.840076,2.398946
229.592592592593,1.877751,2.412105
231.738317757009,1.916608,2.424762
233.924528301887,1.956681,2.436854
236.152380952381,1.998002,2.448312
238.423076923077,2.040601,2.45906
240.73786407767,2.084507,2.469019
243.098039215686,2.129746,2.478102
245.50495049505,2.176339,2.486211
247.96,2.224305,2.493248
250.464646464646,2.273657,2.4991
253.020408163265,2.324401,2.503652
255.628865979381,2.376535,2.506779
258.291666666667,2.430051,2.508346
261.010526315789,2.484929,2.508215
263.787234042553,2.541136,2.506236
266.623655913978,2.598629,2.502255
269.521739130435,2.657347,2.496112
272.483516483516,2.717214,2.487642
275.511111111111,2.778134,2.476675
278.606741573034,2.839992,2.463042
281.772727272727,2.902648,2.446575
285.011494252874,2.965944,2.427106
288.325581395349,3.029692,2.404479
291.717647058824,3.093682,2.378543
295.190476190476,3.157675,2.349165
298.746987951807,3.221411,2.316229
302.390243902439,3.284604,2.279643
306.123456790123,3.346944,2.239343
309.95,3.408106,2.195294
313.873417721519,3.467746,2.147502
317.897435897436,3.525514,2.09601
322.025974025974,3.581051,2.040903
326.263157894737,3.634004,1.982315
330.613333333333,3.684025,1.920421
335.081081081081,3.730788,1.855443
339.671232876712,3.773984,1.787645
344.388888888889,3.813341,1.717329
349.239436619718,3.848618,1.644834
354.228571428571,3.879619,1.570525
359.36231884058,3.906193,1.494787
364.647058823529,3.928237,1.418021
370.089552238806,3.945696,1.340633
375.69696969697,3.958563,1.263025
381.476923076923,3.966878,1.185594
387.4375,3.970722,1.108719
393.587301587302,3.970216,1.032758
399.935483870968,3.965513,0.958045
406.491803278689,3.956794,0.884886
413.266666666667,3.94426,0.813558
420.271186440678,3.928132,0.744306
427.51724137931,3.908639,0.677346
435.017543859649,3.886017,0.612866
442.785714285714,3.860508,0.551027
450.836363636364,3.832346,0.491966
459.185185185185,3.801769,0.4358
467.849056603774,3.769005,0.382628
476.846153846154,3.734277,0.332537
486.196078431373,3.697802,0.285603
495.92,3.659794,0.241897
506.040816326531,3.620459,0.201488
516.583333333333,3.580006,0.164447
527.574468085106,3.538646,0.130851
539.04347826087,3.496601,0.100786
551.022222222222,3.454109,0.074351
563.545454545455,3.411443,0.051663
576.651162790698,3.368921,0.03286
590.380952380952,3.326945,0.018102
604.780487804878,3.286049,0.007577
619.9,3.247041,0.001499
635.794871794872,3.211646,0
652.526315789474,3.181561,0
670.162162162162,3.154731,0
688.777777777778,3.130323,0
708.457142857143,3.107894,0
729.294117647059,3.087149,0
751.393939393939,3.067875,0
774.875,3.049906,0
799.870967741935,3.033111,0
826.533333333333,3.017383,0
830,3,0
850,3,0
870,3,0
890,3,0
910,3,0
930,3,0
950,3,0
970,3,0
990,3,0
1010,3,0
1030,3,0
1050,3,0
1070,3,0
1090,3,0
1110,3,0
1130,3,0
1150,3,0
1170,3,0
1190,3,0
1210,3,0
