"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
250,1.54766726,250,1,502654.82457436697," Keith R. McIntosh,  James N. Cotsell,  Jeff S. Cumpston,  Ann W. Norris,  Nick E. Powell and  Barry M. Ketola, 'An optical comparison of silicone and EVA encapsulants for conventional silicon PV modules: A ray-tracing study', <i>IEEE</i>, pp.000544-000549, (2009)",-
251,1.54851818,251,1,500652.2157115208,,
252,1.54497886,252,1,498665.5005698085,,
253,1.54778159,253,1,496694.49068613333,,
254,1.54740024,254,1,494739.0005653218,,
255,1.54582345,255,1,492798.8476219283,,
256,1.54609323,256,1,490873.8521234052,,
257,1.54729557,257,1,488963.8371345982,,
258,1.54814827,258,1,487068.6284635338,,
259,1.54630136,259,1,485188.05460846226,,
260,1.546894,260,1,483321.946706122,,
261,1.5468657,261,1,481470.1384811944,,
262,1.5468564,262,1,479632.46619691496,,
263,1.54670286,263,1,477808.76860681263,,
264,1.546445,264,1,475998.88690754445,,
265,1.54606819,265,1,474202.664692799,,
266,1.54663217,266,1,472419.94790823956,,
267,1.54578233,267,1,470650.5848074597,,
268,1.54638147,268,1,468894.4259089244,,
269,1.545836,269,1,467151.3239538726,,
270,1.54533553,270,1,465421.1338651546,,
271,1.54721212,271,1,463703.7127069806,,
272,1.54672706,272,1,461998.9196455579,,
273,1.54592431,273,1,460306.61591059243,,
274,1.54456592,274,1,458626.66475763405,,
275,1.5454154,275,1,456958.9314312427,,
276,1.54372215,276,1,455303.2831289555,,
277,1.54364073,277,1,453659.5889660351,,
278,1.54448,278,1,452027.71994097746,,
279,1.54332483,279,1,450407.5489017625,,
280,1.54346681,280,1,448798.9505128276,,
281,1.54346943,281,1,447201.8012227464,,
282,1.54343307,282,1,445615.9792325948,,
283,1.54141629,283,1,444041.3644649884,,
284,1.54047453,284,1,442477.83853377367,,
285,1.54392934,285,1,440925.28471435694,,
286,1.53778636,286,1,439383.58791465644,,
287,1.53514075,287,1,437852.63464666106,,
288,1.53561592,288,1,436332.3129985824,,
289,1.53367615,289,1,434822.51260758383,,
290,1.53387666,290,1,433323.1246330749,,
291,1.53045392,291,1,431834.04173055576,,
292,1.52772272,292,1,430355.1580259991,,
293,1.52728355,293,1,428886.36909075675,,
294,1.52829385,294,1,427427.57191697863,,
295,1.52603292,295,1,425978.6648935313,,
296,1.52576756,296,1,424539.5477824045,,
297,1.52571452,297,1,423110.12169559504,,
298,1.52236772,298,1,421690.2890724555,,
299,1.52280176,299,1,420279.9536574974,,
300,1.52350533,300,1,418879.0204786391,,
301,1.52171338,301,1,417487.3958258861,,
302,1.52022815,302,1,416104.9872304362,,
303,1.52224565,303,1,414731.70344419713,,
304,1.51895952,304,1,413367.4544197096,,
305,1.52098668,305,1,412012.1512904647,,
306,1.52009785,306,1,410665.706351607,,
307,1.51978624,307,1,409328.0330410154,,
308,1.518061,308,1,407999.0459207524,,
309,1.51636446,309,1,406678.6606588729,,
310,1.51922035,310,1,405366.7940115862,,
311,1.51669192,311,1,404063.3638057612,,
312,1.518737,312,1,402768.28892176837,,
313,1.515199,313,1,401481.4892766508,,
314,1.51283991,314,1,400202.885807617,,
315,1.51311159,315,1,398932.40045584674,,
316,1.51628613,316,1,397669.9561506068,,
317,1.51516545,317,1,396415.4767936648,,
318,1.513767,318,1,395168.8872439991,,
319,1.513497,319,1,393930.11330279545,,
320,1.51248038,320,1,392699.0816987242,,
321,1.51203,321,1,391475.7200734945,,
322,1.50887632,322,1,390259.95696767623,,
323,1.50855923,323,1,389051.72180678556,,
324,1.50709927,324,1,387850.9448876288,,
325,1.51107168,325,1,386657.5573648976,,
326,1.51160455,326,1,385471.49123801145,,
327,1.51168323,327,1,384292.67933820107,,
328,1.510243,328,1,383121.0553158285,,
329,1.51123214,329,1,381956.5536279384,,
330,1.50950944,330,1,380799.10952603555,,
331,1.5071063,331,1,379648.6590440838,,
332,1.50743663,332,1,378505.13898672204,,
333,1.51069462,333,1,377368.48691769294,,
334,1.51076257,334,1,376238.64114847826,,
335,1.50743318,335,1,375115.54072713945,,
336,1.50951457,336,1,373999.12542735634,,
337,1.50847316,337,1,372889.33573766093,,
338,1.51019657,338,1,371786.1128508631,,
339,1.50904322,339,1,370689.39865366294,,
340,1.509001,340,1,369599.13571644627,,
341,1.51024079,341,1,368515.26728326024,,
342,1.51022148,342,1,367437.7372619641,,
343,1.51034892,343,1,366366.49021455314,,
344,1.51344156,344,1,365301.4713476504,,
345,1.50621641,345,1,364242.6265031644,,
346,1.50820529,346,1,363189.902149109,,
347,1.51471674,347,1,362143.2453705814,,
348,1.50884271,348,1,361102.6038608958,,
349,1.509712,349,1,360067.92591287027,,
350,1.50318778,350,1,359039.1604102621,,
351,1.50649071,351,1,358016.25681934966,,
352,1.50809932,352,1,356999.1651806583,,
353,1.50712633,353,1,355987.83610082645,,
354,1.50517511,354,1,354982.22074460937,,
355,1.5045979,355,1,353982.270827019,,
356,1.50528026,356,1,352987.93860559474,,
357,1.50680184,357,1,351999.1768728059,,
358,1.50436425,358,1,351015.9389485803,,
359,1.50536788,359,1,350038.17867295747,,
360,1.50609446,360,1,349065.8503988659,,
361,1.50507188,361,1,348098.9089850187,,
362,1.5012064,362,1,347137.30978892744,,
363,1.50508428,363,1,346181.0086600323,,
364,1.50342059,364,1,345229.9619329443,,
365,1.50487363,365,1,344284.12642079924,,
366,1.50374925,366,0.0000939403,32.253787579893036,,
367,1.50376225,367,0.0000854051,29.24338253287212,,
368,1.5029639,368,0.0000776026,26.499538919507312,,
369,1.50274682,369,0.0000704088,23.977861119574314,,
370,1.50468993,370,0.0000635634,21.588141673209673,,
371,1.50559568,371,0.0000574831,19.470456567716166,,
372,1.50725341,372,0.0000519105,17.535660800448706,,
373,1.50329137,373,0.0000467658,15.755398790268046,,
374,1.50404215,374,0.0000421351,14.157360493932758,,
375,1.50528073,375,0.0000379291,12.710163404509082,,
376,1.505488,376,0.0000341122,11.40070605508359,,
377,1.50279272,377,0.0000306624,10.220559212883996,,
378,1.5046339,378,0.0000274792,9.135286015505255,,
379,1.50723124,379,0.0000246386,8.169334538758573,,
380,1.50626671,380,0.0000221355,7.320076229845986,,
381,1.506952,381,0.0000198212,6.537547118670237,,
382,1.50596869,382,0.000017803,5.856520838938124,,
383,1.50720239,383,0.0000159852,5.24480280795442,,
384,1.50751877,384,0.0000143082,4.682347500634737,,
385,1.50710714,385,0.0000128377,4.190215481453475,,
386,1.5060395,386,0.0000115038,3.7451039967218933,,
387,1.50719857,387,0.0000103325,3.3550910690663085,,
388,1.508318,388,0.00000931357,3.016437432030339,,
389,1.50714207,389,0.00000834006,2.6941975554239685,,
390,1.50805831,390,0.00000749716,2.41569464397818,,
391,1.50777328,391,0.00000673439,2.164369324849982,,
392,1.507611,392,0.00000606547,1.9444118359764577,,
393,1.50641847,393,0.00000551522,1.7635190468123663,,
394,1.50761664,394,0.00000494304,1.5765500660305067,,
395,1.50589466,395,0.00000447746,1.4244410574928765,,
396,1.50619149,396,0.00000402322,1.276698827856114,,
397,1.50682974,397,0.00000366235,1.1592556025062548,,
398,1.50643849,398,0.00000330218,1.042623560686547,,
399,1.50613773,399,0.00000304837,0.9600738644033602,,
400,1.50601566,400,0.00000277427,0.8715626251074555,,
401,1.507083,401,0.00000253969,0.7958774510120161,,
402,1.50527775,402,0.00000230623,0.7209189279092924,,
403,1.50650573,403,0.00000210949,0.6577824602303854,,
404,1.50588334,404,0.00000194921,0.6062993877528476,,
405,1.50538754,405,0.0000018158,0.5634077965815651,,
406,1.50457811,406,0.00000163845,0.5071273382536154,,
407,1.50503266,407,0.000001542,0.47610180558579474,,
408,1.505235,408,0.00000139867,0.43078935262710166,,
409,1.50484443,409,0.00000130628,0.4013495991717629,,
410,1.5044595,410,0.00000120198,0.36840307685481555,,
411,1.50565851,411,0.00000116945,0.3575606354005435,,
412,1.50431478,412,0.00000108691,0.3315173272925517,,
413,1.504019,413,0.00000100085,0.30452910482763623,,
414,1.50366414,414,9.55058e-7,0.2898940286523827,,
415,1.50318384,415,8.94658e-7,0.27090612050846624,,
416,1.50331068,416,8.44264e-7,0.2550320750086859,,
417,1.50412536,417,7.92835e-7,0.23892226489293655,,
418,1.5025866,418,7.54217e-7,0.226740917360051,,
419,1.5026921,419,7.1744e-7,0.21516985521636867,,
420,1.50337183,420,6.96756e-7,0.20846890770901047,,
421,1.50325072,421,6.62437e-7,0.19772990144095598,,
422,1.50265515,422,6.26309e-7,0.18650310457603506,,
423,1.50375974,423,6.08163e-7,0.18067143385202167,,
424,1.50257,424,5.75967e-7,0.17070317885944833,,
425,1.50267434,425,5.52089e-7,0.16324129379084568,,
426,1.50315,426,5.51542e-7,0.16269674134706308,,
427,1.5020721,427,5.23327e-7,0.15401220221313214,,
428,1.50243187,428,4.96896e-7,0.1458920395512293,,
429,1.50254762,429,4.8861e-7,0.14312480992732018,,
430,1.50156331,430,4.64574e-7,0.13576765259989068,,
431,1.50143063,431,4.70599e-7,0.1372093142632671,,
432,1.50163507,432,4.55135e-7,0.1323934048510732,,
433,1.50155365,433,4.45792e-7,0.12937615447843892,,
434,1.50149441,434,4.2968e-7,0.12441286003635599,,
435,1.500675,435,4.20709e-7,0.12153529229417087,,
436,1.50194514,436,4.22994e-7,0.12191512320298727,,
437,1.50228667,437,4.41276e-7,0.1268933125680082,,
438,1.500869,438,3.96632e-7,0.11379508469211203,,
439,1.50093436,439,4.08465e-7,0.11692306544405968,,
440,1.50067127,440,4.07437e-7,0.11636373509096952,,
441,1.501209,441,3.92845e-7,0.11194185632648365,,
442,1.50055873,442,4.08433e-7,0.11612037215236562,,
443,1.50049555,443,3.90364e-7,0.11073270199782628,,
444,1.50039721,444,3.71369e-7,0.10510721821360253,,
445,1.50050414,445,3.80307e-7,0.10739502717382235,,
446,1.50125515,446,3.62091e-7,0.10202174220008806,,
447,1.50106359,447,3.79354e-7,0.10664659861386154,,
448,1.50026071,448,3.70485e-7,0.10392079948796558,,
449,1.4998976,449,3.62876e-7,0.10155978403243207,,
450,1.50021458,450,3.46678e-7,0.09681076070766244,,
451,1.500038,451,3.55459e-7,0.09904278341927931,,
452,1.50007224,452,3.47794e-7,0.09669266153651404,,
453,1.500535,453,3.3365e-7,0.09255561932629003,,
454,1.5002321,454,3.52602e-7,0.09759752007410294,,
455,1.49968266,455,3.43421e-7,0.09484737500557895,,
456,1.4998858,456,3.29172e-7,0.09071266113749644,,
457,1.49950838,457,3.46112e-7,0.09517224652247445,,
458,1.49950647,458,3.3792e-7,0.09271676764201424,,
