"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.54275,300,0.001036552,434.18988643517434," Henning Nagel,  Armin G. Aberle and  Rudolf Hezel, 'Optimised antireflection coatings for planar silicon solar cells using remote PECVD silicon nitride and porous silicon dioxide', <i>Progress in Photovoltaics: Research and Applications</i> <b>7</b>(4), pp.245-260, (1999)",-
310,1.54218,310,0.000859168,348.2781776773465,,
320,1.5416,320,0.000665808,261.46219018766413,,
330,1.54103,330,0.000482396,183.69596723892144,,
340,1.54045,340,0.00032677,120.77390957806315,,
350,1.53988,350,0.00020695,74.30315424690374,,
360,1.5393,360,0.000122538,42.77383117617622,,
370,1.53873,370,0.0000678,23.027025071717617,,
380,1.53815,380,0.0000351,11.607358120105447,,
390,1.53758,390,0.000017,5.47764872933605,,
400,1.537,400,0.00000769,2.415884750610551,,
410,1.53643,410,0.00000325,0.996114743821154,,
420,1.53585,420,0.00000129,0.38596709744103175,,
430,1.53528,430,4.75e-7,0.13881455911210716,,
440,1.5347,440,1.64e-7,0.046838290471702376,,
450,1.53413,450,5.31e-8,0.014828317324943824,,
460,1.53355,460,1.6e-8,0.0043709115180379735,,
470,1.53298,470,4.53e-9,0.0012111842315541926,,
480,1.5324,480,1.2e-9,0.0003141592653589793,,
490,1.53183,490,2.96e-10,0.00007591113677245542,,
500,1.53125,500,6.83e-11,0.00001716566225921463,,
510,1.53068,510,1.47e-11,0.0000036220715300211736,,
520,1.5301,520,2.97e-12,7.177330908585912e-7,,
530,1.52953,530,5.61e-13,1.3301384744633012e-7,,
540,1.52895,540,9.9e-14,2.303834612632515e-8,,
550,1.52838,550,1.63e-14,3.724215291164628e-9,,
560,1.5278,560,2.52e-15,5.654866776461627e-10,,
570,1.52723,570,3.63e-16,8.002793917565578e-11,,
580,1.52665,580,4.89e-17,1.0594750397278682e-11,,
590,1.52608,590,6.17e-18,1.3141441811965441e-12,,
600,1.5255,600,7.26e-19,1.52053084433746e-13,,
610,1.52493,610,8e-20,1.6480486051618587e-14,,
620,1.52435,620,8.24e-21,1.670111191327735e-15,,
630,1.52378,630,7.93e-22,1.5817669678074324e-16,,
640,1.5232,640,7.14e-23,1.4019357216644453e-17,,
650,1.52263,650,6.01e-24,1.1619059598815175e-18,,
660,1.52205,660,4.73e-25,9.005898940290743e-20,,
670,1.52148,670,3.48e-26,6.5270104086522274e-21,,
680,1.5209,680,2.39e-27,4.416709671811533e-22,,
690,1.52033,690,1.54e-28,2.8046682240743664e-23,,
700,1.51975,700,9.26e-30,1.6623513126995133e-24,,
710,1.51918,710,5.2e-31,9.203539041502493e-26,,
720,1.5186,720,2.73e-32,4.7647488579445194e-27,,
730,1.51803,730,1.34e-33,2.306703647019355e-28,,
740,1.51745,740,6.17e-35,1.0477636039269741e-29,,
750,1.51688,750,2.65e-36,4.440117617073574e-31,,
760,1.5163,760,1.06e-37,1.7526780067395691e-32,,
770,1.51573,770,3.999999e-39,6.527983102735854e-34,,
780,1.51515,780,1.399995e-40,2.2554943625961244e-35,,
790,1.51458,790,4.610272e-42,7.33346665632948e-37,,
800,1.514,800,1.415311e-43,2.223165320072412e-38,,
810,1.51343,810,4.203895e-45,6.521938591833514e-40,,
820,1.51285,820,0,0,,
830,1.51228,830,0,0,,
840,1.5117,840,0,0,,
850,1.51113,850,0,0,,
860,1.51055,860,0,0,,
870,1.50998,870,0,0,,
880,1.5094,880,0,0,,
890,1.50883,890,0,0,,
900,1.50825,900,0,0,,
910,1.50768,910,0,0,,
920,1.5071,920,0,0,,
930,1.50653,930,0,0,,
940,1.50595,940,0,0,,
950,1.50538,950,0,0,,
960,1.5048,960,0,0,,
970,1.50423,970,0,0,,
980,1.50365,980,0,0,,
990,1.50308,990,0,0,,
1000,1.5025,1000,0,0,,
1010,1.50193,1010,0,0,,
1020,1.50135,1020,0,0,,
1030,1.50078,1030,0,0,,
1040,1.5002,1040,0,0,,
1050,1.49963,1050,0,0,,
1060,1.49905,1060,0,0,,
1070,1.49848,1070,0,0,,
1080,1.4979,1080,0,0,,
1090,1.49733,1090,0,0,,
1100,1.49675,1100,0,0,,
1110,1.49618,1110,0,0,,
1120,1.4956,1120,0,0,,
1130,1.49503,1130,0,0,,
1140,1.49445,1140,0,0,,
1150,1.49388,1150,0,0,,
1160,1.4933,1160,0,0,,
1170,1.49273,1170,0,0,,
1180,1.49215,1180,0,0,,
1190,1.49158,1190,0,0,,
1200,1.491,1200,0,0,,
