"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
250,1.562,250,0.000771,387.5468697468369," Malte R. Vogt,  Hendrik Holst,  Henning Schulte-Huxel,  Susanne Blankemeyer,  Robert Witteck,  David Hinken,  Matthias Winter,  Byungsul Min,  Carsten Schinke,  Ingo Ahrens,  Marc Köntges and  Karsten Bothe, 'Optical Constants of UV Transparent EVA and the Impact on the PV Module Output Power under Realistic Irradiation', <i>Energy Procedia</i> <b>92</b>, pp.523-530, (2016)",A conventional EVA.
260,1.555,260,0.00189,913.4784792745706,,
270,1.549,270,0.000592,275.5293112481715,,
280,1.543,280,0.00142,637.2945097282152,,
290,1.538,290,0.00216,935.9779492074417,,
300,1.533,300,0.00314,1315.2801243029269,,
310,1.529,310,0.0034,1378.247099639393,,
320,1.525,320,0.00303,1189.8782175471342,,
330,1.522,330,0.00105,399.8390650023373,,
340,1.519,340,0.00456,1685.3720588669948,,
350,1.517,350,0.00187,671.4032299671901,,
360,1.514,360,0.00011,38.39724354387525,,
370,1.512,370,0.0000445,15.1136079010536,,
380,1.51,380,0.0000165,5.456450398340168,,
390,1.508,390,0.00000661,2.1298387118183113,,
400,1.507,400,0.00000262,0.8230972752405258,,
410,1.505,410,0.00000165,0.5057197930168935,,
420,1.504,420,0.00000128,0.3829751044376129,,
430,1.503,430,0.00000111,0.32438770655671356,,
440,1.502,440,0.00000102,0.2913113187874172,,
450,1.501,450,9.66e-7,0.26975808918824357,,
460,1.5,460,9.2e-7,0.2513274122871834,,
470,1.499,470,8.8e-7,0.23528523703481005,,
480,1.498,480,8.43e-7,0.22069688391468298,,
490,1.497,490,8.11e-7,0.20798625649480185,,
500,1.496,500,7.79e-7,0.1957840541717159,,
510,1.496,510,7.49e-7,0.1845531684344122,,
520,1.495,520,7.24e-7,0.17496254470761619,,
530,1.494,530,6.98e-7,0.16549672997778686,,
540,1.494,540,6.74e-7,0.15684692211255707,,
550,1.493,550,6.52e-7,0.1489686116465851,,
560,1.493,560,6.29e-7,0.1411472699362843,,
570,1.492,570,6.1e-7,0.13448221183787887,,
580,1.492,580,5.89e-7,0.12761366020444057,,
590,1.491,590,5.71e-7,0.12161690882710319,,
600,1.491,600,5.52e-7,0.11561060965210439,,
610,1.49,610,5.37e-7,0.11062526262148978,,
620,1.49,620,5.19e-7,0.10519268304600662,,
630,1.49,630,5.03e-7,0.10033149871464545,,
640,1.489,640,4.91e-7,0.09640762455703679,,
650,1.489,650,4.79e-7,0.09260448498889298,,
660,1.489,660,4.6e-7,0.08758379519098818,,
670,1.488,670,4.42e-7,0.08290053450069783,,
680,1.488,680,4.31e-7,0.07964861374689416,,
690,1.488,690,4.18e-7,0.07612670893916137,,
700,1.488,700,4.08e-7,0.07324398872369346,,
710,1.487,710,3.98e-7,0.07044247189457678,,
720,1.487,720,3.9e-7,0.06806784082777886,,
730,1.487,730,3.85e-7,0.06627469433600386,,
740,1.487,740,3.88e-7,0.06588853781582918,,
750,1.487,750,3.97e-7,0.06651798845200789,,
760,1.486,760,3.99e-7,0.06597344572538566,,
770,1.486,770,3.78e-7,0.061689455743217755,,
780,1.486,780,3.47e-7,0.055904238502341455,,
790,1.486,790,3.27e-7,0.05201523026449936,,
800,1.486,800,3.18e-7,0.049951323192077714,,
810,1.486,810,3.18e-7,0.04933464018970639,,
820,1.485,820,3.19e-7,0.04888624665829971,,
830,1.485,830,3.21e-7,0.04860005984589511,,
840,1.485,840,3.18e-7,0.04757268875435972,,
850,1.485,850,3.08e-7,0.045534613520266186,,
860,1.485,860,3e-7,0.043836176561718045,,
870,1.485,870,3.05e-7,0.04405451767102928,,
880,1.485,880,3.3e-7,0.0471238898038469,,
890,1.484,890,3.91e-7,0.05520731359791502,,
900,1.484,900,4.84e-7,0.06757914863722045,,
910,1.484,910,6.49e-7,0.08962169811779233,,
920,1.484,920,9.1e-7,0.12429779629420486,,
930,1.484,930,0.0000011,0.14863449113758162,,
940,1.484,940,9.66e-7,0.12913951078160596,,
950,1.484,950,6.1e-7,0.08068932710272733,,
960,1.484,960,3.51e-7,0.04594579255875072,,
970,1.484,970,2.98e-7,0.03860596333071168,,
980,1.483,980,2.84e-7,0.036416829127326585,,
990,1.483,990,3.06e-7,0.03884150917165563,,
1000,1.483,1000,3.71e-7,0.04662123497927253,,
1010,1.483,1010,4.59e-7,0.057108555564265945,,
1020,1.483,1020,5.51e-7,0.06788304125992063,,
1030,1.483,1030,6.48e-7,0.0790583316320849,,
1040,1.483,1040,7.03e-7,0.08494383213360095,,
1050,1.483,1050,6.73e-7,0.08054445165203546,,
1060,1.483,1060,5.79e-7,0.06864083571428264,,
1070,1.483,1070,4.9e-7,0.05754693085080369,,
1080,1.483,1080,4.19e-7,0.048752863772374935,,
1090,1.483,1090,3.77e-7,0.04346350203315053,,
1100,1.483,1100,3.65e-7,0.0416975024931009,,
1110,1.483,1110,3.93e-7,0.04449174460759599,,
1120,1.482,1120,4.77e-7,0.053519274848654694,,
1130,1.482,1130,6.69e-7,0.07439736230979015,,
1140,1.482,1140,0.00000112,0.12345907972001996,,
1150,1.482,1150,0.00000197,0.21526739226337022,,
1160,1.482,1160,0.00000322,0.34882511532962535,,
1170,1.482,1170,0.00000466,0.5005067270334509,,
1180,1.482,1180,0.00000633,0.6741112371940133,,
1190,1.482,1190,0.00000887,0.9366698096585367,,
1200,1.482,1200,0.0000124,1.2985249634837812,,
1210,1.482,1210,0.0000151,1.5681999692299462,,
1220,1.482,1220,0.0000127,1.3081385803472254,,
1230,1.482,1230,0.00000818,0.8357147286622605,,
1240,1.482,1240,0.00000487,0.4935340717091062,,
1250,1.482,1250,0.00000318,0.3196884684292973,,
1260,1.482,1260,0.00000227,0.226394137258693,,
1270,1.482,1270,0.00000178,0.17612708420125453,,
1280,1.482,1280,0.00000151,0.14824390334126836,,
1290,1.482,1290,0.00000133,0.1295602551713,,
1300,1.482,1300,0.0000012,0.11599726720946929,,
1310,1.482,1310,0.00000108,0.10360061269853366,,
1320,1.482,1320,9.99e-7,0.0951045776041274,,
1330,1.482,1330,0.00000104,0.09826334916491382,,
1340,1.481,1340,0.0000013,0.12191255073632033,,
1350,1.481,1350,0.00000175,0.16289739685280408,,
1360,1.481,1360,0.00000263,0.2430114317335634,,
1370,1.481,1370,0.00000436,0.39992245166865686,,
1380,1.481,1380,0.00000713,0.6492624817418906,,
1390,1.481,1390,0.00000989,0.8941108300432535,,
1400,1.481,1400,0.000011,0.9873576911282207,,
1410,1.481,1410,0.0000114,1.0160044326503161,,
1420,1.481,1420,0.0000116,1.0265485853983551,,
1430,1.481,1430,0.000011,0.966643893412244,,
1440,1.481,1440,0.00000969,0.8456120225912527,,
1450,1.481,1450,0.00000824,0.7141165093953075,,
1460,1.481,1460,0.00000684,0.5887258561795666,,
1470,1.481,1470,0.00000556,0.4752994599716803,,
1480,1.481,1480,0.00000449,0.38123651390859925,,
1490,1.481,1490,0.00000374,0.31542433622619676,,
1500,1.481,1500,0.00000327,0.27394687939303,,
1510,1.481,1510,0.00000306,0.25465625218502697,,
1520,1.481,1520,0.00000306,0.2529808821048623,,
1530,1.481,1530,0.00000315,0.25871939500151236,,
1540,1.481,1540,0.0000031,0.25295940847086645,,
1550,1.481,1550,0.00000274,0.22214100311834925,,
1560,1.481,1560,0.00000239,0.19252324210460528,,
1570,1.481,1570,0.00000217,0.17368805244050575,,
1580,1.481,1580,0.00000208,0.1654307017586524,,
1590,1.481,1590,0.0000021,0.1659709326424796,,
1600,1.481,1600,0.00000223,0.17514379043763098,,
1610,1.481,1610,0.00000247,0.19278841874203204,,
1620,1.481,1620,0.0000029,0.22495354803482473,,
1630,1.481,1630,0.00000365,0.2813941886037484,,
1640,1.481,1640,0.00000477,0.36549748677130034,,
1650,1.481,1650,0.00000655,0.4988468334791066,,
1660,1.481,1660,0.00000931,0.7047765687932765,,
1670,1.481,1670,0.0000133,1.0007947854549522,,
1680,1.481,1680,0.0000182,1.361356816555577,,
1690,1.481,1690,0.0000239,1.777137619427126,,
1700,1.481,1700,0.0000334,2.468922226585861,,
1710,1.481,1710,0.0000516,3.79195744854347,,
1720,1.481,1720,0.000087,6.356245601449117,,
1730,1.481,1730,0.0000988,7.176632466466395,,
1740,1.481,1740,0.0000806,5.8209739742376385,,
1750,1.481,1750,0.0000782,5.615372468816499,,
1760,1.481,1760,0.0000796,5.6834267096760795,,
1770,1.481,1770,0.0000685,4.863256424201149,,
1780,1.481,1780,0.0000582,4.108779605369123,,
1790,1.481,1790,0.0000542,3.8050127782026104,,
1800,1.48,1800,0.0000534,3.7280232822598878,,
1810,1.48,1810,0.0000529,3.6727127375668522,,
1820,1.48,1820,0.0000507,3.5006318140000556,,
1830,1.48,1830,0.0000474,3.254895995194671,,
1840,1.48,1840,0.0000433,2.9571948239225665,,
1850,1.48,1850,0.0000392,2.662712043691241,,
1860,1.48,1860,0.0000358,2.4186885376024647,,
1870,1.48,1870,0.0000333,2.2377547671559386,,
1880,1.48,1880,0.0000322,2.1523251796934324,,
1890,1.48,1890,0.0000327,2.174181582484365,,
1900,1.48,1900,0.0000332,2.195807917877498,,
1910,1.48,1910,0.0000333,2.1908907929746624,,
1920,1.48,1920,0.0000333,2.1794799034279193,,
1930,1.48,1930,0.0000338,2.2007426257271505,,
1940,1.48,1940,0.0000345,2.2347411659556258,,
1950,1.48,1950,0.0000337,2.171726613866175,,
1960,1.48,1960,0.0000327,2.0965322402527806,,
1970,1.48,1970,0.0000323,2.0603744712883314,,
1980,1.48,1980,0.0000323,2.049968539615158,,
1990,1.48,1990,0.000033,2.0838705038887073,,
2000,1.48,2000,0.0000344,2.161415745669778,,
2010,1.48,2010,0.0000349,2.181922061896195,,
2020,1.48,2020,0.0000337,2.0964687609104162,,
2030,1.48,2030,0.0000327,2.02423802507165,,
2040,1.48,2040,0.0000328,2.0204752752499058,,
2050,1.48,2050,0.0000328,2.0106192982974673,,
2060,1.48,2060,0.0000328,2.0008590104416544,,
2070,1.48,2070,0.0000322,1.954768762233649,,
2080,1.48,2080,0.0000322,1.9453708354921408,,
2090,1.48,2090,0.0000337,2.0262521038464314,,
2100,1.48,2100,0.0000353,2.1123470604137085,,
2110,1.48,2110,0.0000371,2.2095372028091247,,
2120,1.48,2120,0.0000397,2.353230723538015,,
2130,1.48,2130,0.0000448,2.6430676221750744,,
2140,1.48,2140,0.0000482,2.8303694561313653,,
2150,1.48,2150,0.0000432,2.5249637699549594,,
2160,1.48,2160,0.0000392,2.280563555939257,,
2170,1.48,2170,0.000038,2.200562596062897,,
2180,1.48,2180,0.0000386,2.2250546133681843,,
2190,1.48,2190,0.0000395,2.266537165603595,,
2200,1.48,2200,0.0000421,2.404746376656915,,
2210,1.48,2210,0.0000476,2.7066029015542834,,
2220,1.48,2220,0.0000555,3.141592653589793,,
2230,1.48,2230,0.0000691,3.893884347319367,,
2240,1.48,2240,0.0000889,4.987278337573797,,
2250,1.48,2250,0.000157,8.768534162019511,,
2260,1.48,2260,0.000211,11.732319467388432,,
