"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
250,1.504,250,0,," Malte Ruben Vogt, 'Development of physical models for the simulation of optical properties of solar cell modules', <i>PhD Thesis, Technische Informationsbibliothek (TIB)</i>, pp.21-42, (2015)",Composition of ARC is not disclosed.
260,1.494,260,0,,,
270,1.486,270,0,,,
280,1.479,280,0,,,
290,1.472,290,0,,,
300,1.467,300,0,,,
310,1.462,310,0,,,
320,1.457,320,0,,,
330,1.454,330,0,,,
340,1.45,340,0,,,
350,1.447,350,0,,,
360,1.444,360,0,,,
370,1.441,370,0,,,
380,1.439,380,0,,,
390,1.437,390,0,,,
400,1.435,400,0,,,
410,1.433,410,0,,,
420,1.431,420,0,,,
430,1.43,430,0,,,
440,1.428,440,0,,,
450,1.427,450,0,,,
460,1.426,460,0,,,
470,1.425,470,0,,,
480,1.424,480,0,,,
490,1.423,490,0,,,
500,1.422,500,0,,,
510,1.421,510,0,,,
520,1.42,520,0,,,
530,1.419,530,0,,,
540,1.418,540,0,,,
550,1.418,550,0,,,
560,1.417,560,0,,,
570,1.417,570,0,,,
580,1.416,580,0,,,
590,1.415,590,0,,,
600,1.415,600,0,,,
610,1.414,610,0,,,
620,1.414,620,0,,,
630,1.413,630,0,,,
640,1.413,640,0,,,
650,1.413,650,0,,,
660,1.412,660,0,,,
670,1.412,670,0,,,
680,1.411,680,0,,,
690,1.411,690,0,,,
700,1.411,700,0,,,
710,1.411,710,0,,,
720,1.41,720,0,,,
730,1.41,730,0,,,
740,1.41,740,0,,,
750,1.409,750,0,,,
760,1.409,760,0,,,
770,1.409,770,0,,,
780,1.409,780,0,,,
790,1.408,790,0,,,
800,1.408,800,0,,,
810,1.408,810,0,,,
820,1.408,820,0,,,
830,1.408,830,0,,,
840,1.407,840,0,,,
850,1.407,850,0,,,
860,1.407,860,0,,,
870,1.407,870,0,,,
880,1.407,880,0,,,
890,1.407,890,0,,,
900,1.407,900,0,,,
910,1.406,910,0,,,
920,1.406,920,0,,,
930,1.406,930,0,,,
940,1.406,940,0,,,
950,1.406,950,0,,,
960,1.406,960,0,,,
970,1.406,970,0,,,
980,1.405,980,0,,,
990,1.405,990,0,,,
1000,1.405,1000,0,,,
1010,1.405,1010,0,,,
1020,1.405,1020,0,,,
1030,1.405,1030,0,,,
1040,1.405,1040,0,,,
1050,1.405,1050,0,,,
1060,1.405,1060,0,,,
1070,1.405,1070,0,,,
1080,1.405,1080,0,,,
1090,1.404,1090,0,,,
1100,1.404,1100,0,,,
1110,1.404,1110,0,,,
1120,1.404,1120,0,,,
1130,1.404,1130,0,,,
1140,1.404,1140,0,,,
1150,1.404,1150,0,,,
1160,1.404,1160,0,,,
1170,1.404,1170,0,,,
1180,1.404,1180,0,,,
1190,1.404,1190,0,,,
1200,1.404,1200,0,,,
1210,1.404,1210,0,,,
1220,1.404,1220,0,,,
1230,1.404,1230,0,,,
1240,1.403,1240,0,,,
1250,1.403,1250,0,,,
1260,1.403,1260,0,,,
1270,1.403,1270,0,,,
1280,1.403,1280,0,,,
1290,1.403,1290,0,,,
1300,1.403,1300,0,,,
1310,1.403,1310,0,,,
1320,1.403,1320,0,,,
1330,1.403,1330,0,,,
1340,1.403,1340,0,,,
1350,1.403,1350,0,,,
1360,1.403,1360,0,,,
1370,1.403,1370,0,,,
1380,1.403,1380,0,,,
1390,1.403,1390,0,,,
1400,1.403,1400,0,,,
1410,1.403,1410,0,,,
1420,1.403,1420,0,,,
1430,1.403,1430,0,,,
1440,1.403,1440,0,,,
1450,1.403,1450,0,,,
1460,1.403,1460,0,,,
1470,1.402,1470,0,,,
1480,1.402,1480,0,,,
1490,1.402,1490,0,,,
1500,1.402,1500,0,,,
1510,1.402,1510,0,,,
1520,1.402,1520,0,,,
1530,1.402,1530,0,,,
1540,1.402,1540,0,,,
1550,1.402,1550,0,,,
1560,1.402,1560,0,,,
1570,1.402,1570,0,,,
1580,1.402,1580,0,,,
1590,1.402,1590,0,,,
1600,1.402,1600,0,,,
1610,1.402,1610,0,,,
1620,1.402,1620,0,,,
1630,1.402,1630,0,,,
1640,1.402,1640,0,,,
1650,1.402,1650,0,,,
1660,1.402,1660,0,,,
1670,1.402,1670,0,,,
1680,1.402,1680,0,,,
1690,1.402,1690,0,,,
1700,1.402,1700,0,,,
