"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
350.01,1.402828,350.01,0,0,No reference information available.,Super-abrasion resistant coating for desert environments. RI data supplied by Enki Technology.
355,1.402797,355,0,0,,
360,1.402768,360,0,0,,
365,1.40274,365,0,0,,
370,1.402713,370,0,0,,
375,1.402688,375,0,0,,
380,1.402663,380,0,0,,
385,1.402639,385,0,0,,
390,1.402616,390,0,0,,
395.01,1.402594,395.01,0,0,,
400,1.402573,400,0,0,,
405.01,1.402553,405.01,0,0,,
410,1.402533,410,0,0,,
415.01,1.402514,415.01,0,0,,
419.99,1.402496,419.99,0,0,,
425.01,1.402478,425.01,0,0,,
430,1.402461,430,0,0,,
434.99,1.402444,434.99,0,0,,
440.01,1.402428,440.01,0,0,,
445,1.402413,445,0,0,,
450,1.402398,450,0,0,,
455,1.402384,455,0,0,,
460,1.40237,460,0,0,,
465.01,1.402357,465.01,0,0,,
469.99,1.402344,469.99,0,0,,
474.99,1.402331,474.99,0,0,,
480.01,1.402319,480.01,0,0,,
484.99,1.402307,484.99,0,0,,
490,1.402295,490,0,0,,
495,1.402284,495,0,0,,
500,1.402273,500,0,0,,
505,1.402263,505,0,0,,
510,1.402253,510,0,0,,
515.01,1.402243,515.01,0,0,,
519.99,1.402233,519.99,0,0,,
524.99,1.402224,524.99,0,0,,
530,1.402215,530,0,0,,
534.99,1.402206,534.99,0,0,,
539.99,1.402197,539.99,0,0,,
544.99,1.402189,544.99,0,0,,
549.99,1.402181,549.99,0,0,,
555,1.402173,555,0,0,,
560,1.402165,560,0,0,,
565,1.402158,565,0,0,,
570,1.402151,570,0,0,,
575.01,1.402143,575.01,0,0,,
580.01,1.402137,580.01,0,0,,
585,1.40213,585,0,0,,
590.01,1.402123,590.01,0,0,,
594.99,1.402117,594.99,0,0,,
599.99,1.402111,599.99,0,0,,
605,1.402104,605,0,0,,
610.02,1.402099,610.02,0,0,,
615.01,1.402093,615.01,0,0,,
620,1.402087,620,0,0,,
625,1.402082,625,0,0,,
630,1.402076,630,0,0,,
635,1.402071,635,0,0,,
640,1.402066,640,0,0,,
644.99,1.402061,644.99,0,0,,
649.98,1.402056,649.98,0,0,,
655.01,1.402051,655.01,0,0,,
659.98,1.402046,659.98,0,0,,
664.98,1.402042,664.98,0,0,,
670.02,1.402037,670.02,0,0,,
674.99,1.402033,674.99,0,0,,
679.99,1.402029,679.99,0,0,,
684.98,1.402024,684.98,0,0,,
689.99,1.40202,689.99,0,0,,
695.02,1.402016,695.02,0,0,,
699.99,1.402012,699.99,0,0,,
705.02,1.402009,705.02,0,0,,
709.98,1.402005,709.98,0,0,,
715,1.402001,715,0,0,,
719.99,1.401998,719.99,0,0,,
725.01,1.401994,725.01,0,0,,
729.98,1.401991,729.98,0,0,,
735.02,1.401987,735.02,0,0,,
739.97,1.401984,739.97,0,0,,
744.99,1.401981,744.99,0,0,,
750.02,1.401977,750.02,0,0,,
755,1.401974,755,0,0,,
759.99,1.401971,759.99,0,0,,
764.99,1.401968,764.99,0,0,,
770,1.401965,770,0,0,,
775.01,1.401962,775.01,0,0,,
779.97,1.40196,779.97,0,0,,
784.99,1.401957,784.99,0,0,,
790.01,1.401954,790.01,0,0,,
794.98,1.401951,794.98,0,0,,
800,1.401949,800,0,0,,
805.02,1.401946,805.02,0,0,,
809.98,1.401944,809.98,0,0,,
815,1.401941,815,0,0,,
820.01,1.401939,820.01,0,0,,
825.01,1.401936,825.01,0,0,,
830.01,1.401934,830.01,0,0,,
835,1.401932,835,0,0,,
839.98,1.401929,839.98,0,0,,
845.02,1.401927,845.02,0,0,,
849.98,1.401925,849.98,0,0,,
854.99,1.401923,854.99,0,0,,
859.99,1.401921,859.99,0,0,,
864.98,1.401919,864.98,0,0,,
870.02,1.401917,870.02,0,0,,
874.97,1.401915,874.97,0,0,,
879.97,1.401913,879.97,0,0,,
885.03,1.401911,885.03,0,0,,
890,1.401909,890,0,0,,
900.01,1.401905,900.01,0,0,,
904.98,1.401903,904.98,0,0,,
910,1.401901,910,0,0,,
915,1.4019,915,0,0,,
919.96,1.401898,919.96,0,0,,
924.98,1.401896,924.98,0,0,,
929.97,1.401895,929.97,0,0,,
935.02,1.401893,935.02,0,0,,
940.03,1.401891,940.03,0,0,,
945,1.40189,945,0,0,,
950.03,1.401888,950.03,0,0,,
955.02,1.401887,955.02,0,0,,
959.97,1.401885,959.97,0,0,,
964.97,1.401884,964.97,0,0,,
970.03,1.401882,970.03,0,0,,
975.04,1.401881,975.04,0,0,,
980.01,1.401879,980.01,0,0,,
985.03,1.401878,985.03,0,0,,
990,1.401877,990,0,0,,
995.02,1.401875,995.02,0,0,,
1000,1.40187,1000,0,0,,
1005.03,1.40187,1005.03,0,0,,
1010,1.40187,1010,0,0,,
1015.02,1.40187,1015.02,0,0,,
1019.99,1.40186,1019.99,0,0,,
1025.01,1.40186,1025.01,0,0,,
1029.97,1.40186,1029.97,0,0,,
1034.98,1.40186,1034.98,0,0,,
1040.04,1.40186,1040.04,0,0,,
1045.04,1.40186,1045.04,0,0,,
1049.98,1.40186,1049.98,0,0,,
1054.96,1.40186,1054.96,0,0,,
1060,1.40185,1060,0,0,,
1064.96,1.40185,1064.96,0,0,,
1069.98,1.40185,1069.98,0,0,,
1075.04,1.40185,1075.04,0,0,,
1080.03,1.40185,1080.03,0,0,,
1084.95,1.40185,1084.95,0,0,,
1090.04,1.40185,1090.04,0,0,,
1095.05,1.40185,1095.05,0,0,,
1099.99,1.40185,1099.99,0,0,,
