"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.77228,300,0.13524,56649.198729531156," Salman Manzoor,  Jakob Häusele,  Kevin A. Bush,  Axel F. Palmstrom,  Joe Carpenter,  Zhengshan J. Yu,  Stacey F. Bent,  Michael D. Mcgehee and  Zachary C. Holman, 'Optical modeling of wide-bandgap perovskite and perovskite/silicon tandem solar cells using complex refractive indices for arbitrary-bandgap perovskite absorbers', <i>Optics Express</i> <b>26</b>(21), pp.27441, (2018)"," Film deposited on SiO<sub>2</sub> -coated silicon wafer."
302,1.77156,302,0.13173,54813.509967865364,,
304,1.77081,304,0.12828,53026.77705296036,,
306,1.77002,306,0.12488,51283.93340918868,,
308,1.76919,308,0.12154,49588.20404120825,,
310,1.76832,310,0.11825,47934.62339187007,,
312,1.76743,312,0.11501,46322.38090889258,,
314,1.7665,314,0.11182,44750.68669100773,,
316,1.76553,316,0.10869,43222.74753400945,,
318,1.76454,318,0.10561,41733.78618183875,,
320,1.76352,320,0.10257,40279.14480983813,,
322,1.76247,322,0.09959,38865.98911441088,,
324,1.76139,324,0.09666,37489.67233283819,,
326,1.76029,326,0.09378,36149.51644830071,,
328,1.75916,328,0.09095,34844.8599809746,,
330,1.758,330,0.08817,33575.057486910555,,
332,1.75682,332,0.08544,32339.47907502553,,
334,1.75562,334,0.08276,31137.50994144806,,
336,1.7544,336,0.08013,29968.54992049407,,
338,1.75316,338,0.07755,28832.01305158443,,
340,1.75189,340,0.07501,27723.63117009063,,
342,1.75061,342,0.07253,26650.259083610257,,
344,1.74931,344,0.07009,25603.98012675682,,
346,1.74799,346,0.0677,24587.95637549468,,
348,1.74665,348,0.06535,23598.055162309538,,
350,1.7453,350,0.06305,22637.419063867026,,
352,1.74393,352,0.0608,21705.549242984023,,
354,1.74255,354,0.0586,20801.958135634108,,
356,1.74115,356,0.05644,19922.639254899765,,
358,1.73975,358,0.05432,19067.18580368688,,
360,1.73832,360,0.05225,18238.690683340745,,
362,1.73689,362,0.05023,17436.707070697823,,
