"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
200,1.95895255,200,0.000041,25.761059759436304," Keith R. McIntosh,  Gay Lau,  James N. Cotsell,  Katherine Hanton,  Derk L. Bätzner,  Fabian Bettiol and  Bryce S. Richards, 'Increase in external quantum efficiency of encapsulated silicon solar cells from a luminescent down-shifting layer', <i>Progress in Photovoltaics: Research and Applications</i> <b>17</b>(3), pp.191-197, (2009)",-
201,1.727624,201,0.0000404,25.25777974229406,,
202,1.42781258,202,0.0000429,26.687985116634085,,
203,1.69925964,203,0.0000411,25.442257746313402,,
204,1.693201,204,0.0000415,25.563940220387533,,
205,1.708007,205,0.0000426,26.113531130326866,,
206,1.56955206,206,0.0000427,26.047768215200808,,
207,1.55703568,207,0.000046,27.925268031909273,,
208,1.6084944,208,0.0000423,25.555647932086202,,
209,1.55258167,209,0.0000438,26.335264732484777,,
210,1.56958449,210,0.0000471,28.184574092205576,,
211,1.58564353,211,0.0000507,30.195023229763514,,
212,1.61210918,212,0.0000484,28.68926121391433,,
213,1.61280107,213,0.0000497,29.321531433504738,,
214,1.60812426,214,0.0000464,27.246710117115217,,
215,1.57279062,215,0.000048,28.05515299949955,,
216,1.57342219,216,0.0000482,28.04162331537556,,
217,1.55758584,217,0.0000478,27.68076107679118,,
218,1.5630846,218,0.0000476,27.43849730474755,,
219,1.63616061,219,0.0000485,27.82963355234794,,
220,1.60201275,220,0.000049,27.988734550163613,,
221,1.576173,221,0.0000498,28.316979936429266,,
222,1.58476567,222,0.0000494,27.963004880601048,,
223,1.58037341,223,0.0000507,28.57017893040404,,
224,1.5690906,224,0.0000534,29.95732994673124,,
225,1.560547,225,0.0000536,29.935887330206747,,
226,1.595334,226,0.0000546,30.35946174973499,,
227,1.565532,227,0.0000531,29.39534271464635,,
228,1.5608716,228,0.0000559,30.80965426941569,,
229,1.56651366,229,0.0000545,29.90686456255786,,
230,1.564261,230,0.0000553,30.21392586843749,,
231,1.56168282,231,0.0000567,30.84472787160888,,
232,1.56174982,232,0.0000572,30.98260341126486,,
233,1.56479621,233,0.0000547,29.50130783714364,,
234,1.56373048,234,0.0000553,29.697448503165052,,
235,1.56627023,235,0.0000624,33.3677245249367,,
236,1.56247079,236,0.0000559,29.7652592094355,,
237,1.558387,237,0.000061,32.343823100249345,,
238,1.56309259,238,0.0000568,29.99032986956307,,
239,1.56033254,239,0.0000574,30.18032105708019,,
240,1.56225526,240,0.000059,30.89232776029963,,
241,1.56049657,241,0.0000591,30.816286444341372,,
242,1.56252635,242,0.0000593,30.792800720309874,,
243,1.56029868,243,0.0000577,29.838666026688244,,
244,1.56102192,244,0.0000612,31.518929573720545,,
245,1.55896127,245,0.0000595,30.51832863487228,,
246,1.55751443,246,0.000062,31.671340572775154,,
247,1.55805027,247,0.0000606,30.830852600411575,,
248,1.5569427,248,0.0000617,31.263913988143585,,
249,1.55562353,249,0.0000588,29.67480289655901,,
250,1.5561223,250,0.0000599,30.10902399200458,,
251,1.55671215,251,0.0000605,30.28945905054701,,
252,1.55596066,252,0.0000598,29.82019693407454,,
253,1.559698,253,0.0000563,27.963899825629305,,
254,1.55429506,254,0.0000524,25.924323629622865,,
255,1.55704534,255,0.0000469,23.11226595346844,,
256,1.55720627,256,0.0000425,20.862138715244722,,
257,1.555792,257,0.0000387,18.922900497108948,,
258,1.55900908,258,0.0000357,17.388350036148157,,
259,1.55995357,259,0.0000329,15.962686996618409,,
260,1.55619955,260,0.0000307,14.837983763877947,,
261,1.55727816,261,0.0000286,13.770045960562161,,
262,1.557448,262,0.0000267,12.80618684745763,,
263,1.5603956,263,0.0000252,12.040780968891678,,
264,1.56164289,264,0.0000239,11.376373397090314,,
265,1.55984533,265,0.0000226,10.716980222057256,,
266,1.55925786,266,0.0000215,10.157028880027152,,
267,1.564055,267,0.0000205,9.648336988552922,,
268,1.56403,268,0.0000194,9.096551862633135,,
269,1.5622046,269,0.0000185,8.642299493146643,,
270,1.55794251,270,0.0000177,8.237954069413234,,
271,1.56363285,271,0.0000172,7.975703858560066,,
272,1.56489027,272,0.0000171,7.900181525939039,,
273,1.56500781,273,0.0000172,7.91727379366219,,
274,1.56739426,274,0.000017,7.796653300879779,,
275,1.56222045,275,0.0000165,7.539822368615504,,
276,1.56063819,276,0.0000161,7.330382858376183,,
277,1.5573293,277,0.0000159,7.213187464559959,,
278,1.55600822,278,0.0000159,7.187240747061542,,
279,1.55826,279,0.0000161,7.251561537318375,,
280,1.55604017,280,0.0000163,7.31542289335909,,
281,1.556759,281,0.0000167,7.468270080419864,,
282,1.55570114,282,0.0000172,7.664594842800631,,
283,1.55202246,283,0.0000176,7.815128014583796,,
284,1.55602133,284,0.0000181,8.008848877461304,,
285,1.5507654,285,0.0000185,8.157117767215604,,
286,1.55043435,286,0.0000189,8.304349811587006,,
287,1.54837775,287,0.0000193,8.45055584868056,,
288,1.5491426,288,0.0000197,8.595746566072073,,
289,1.5458132,289,0.0000201,8.739932503412435,,
290,1.54706657,290,0.0000205,8.883124054978035,,
291,1.54443359,291,0.000021,9.06851487634167,,
292,1.54254055,292,0.0000215,9.252635897558982,,
293,1.539804,293,0.0000219,9.392611483087574,,
294,1.53697562,294,0.0000223,9.531634853748624,,
295,1.5436573,295,0.0000226,9.627117826593807,,
296,1.54042661,296,0.0000229,9.721955644217065,,
297,1.53942084,297,0.0000231,9.773843811168245,,
298,1.53705192,298,0.0000233,9.825383735388213,,
299,1.53758311,299,0.0000234,9.834550915585439,,
300,1.54421484,300,0.0000234,9.801769079200154,,
301,1.53260064,301,0.0000234,9.769205062325735,,
302,1.54441381,302,0.0000232,9.65363570374612,,
303,1.54015744,303,0.000023,9.538829179216535,,
304,1.53967452,304,0.0000227,9.383441215327409,,
305,1.5368588,305,0.0000225,9.270273404035457,,
306,1.54251254,306,0.0000219,8.993578969100193,,
307,1.5275259,307,0.0000215,8.800552710381831,,
308,1.52426565,308,0.0000212,8.649579773519951,,
309,1.52574837,309,0.0000207,8.41824827563867,,
310,1.52184987,310,0.0000204,8.269482597836358,,
311,1.527734,311,0.00002,8.081267276115225,,
312,1.52811515,312,0.0000197,7.934535291758836,,
313,1.52859092,313,0.0000196,7.869037189822357,,
314,1.5288614,314,0.0000195,7.803956273248531,,
315,1.53016114,315,0.0000196,7.819075048934596,,
316,1.5307008,316,0.0000198,7.873865131782014,,
317,1.519447,317,0.00002,7.9283095358732965,,
318,1.51921391,318,0.0000203,8.021928411053183,,
319,1.53544152,319,0.0000207,8.154353345367864,,
320,1.52369738,320,0.000021,8.246680715673207,,
321,1.525591,321,0.0000215,8.416727981580133,,
322,1.524168,322,0.0000222,8.663771044682411,,
323,1.544188,323,0.0000226,8.792568912833353,,
324,1.529629,324,0.0000232,8.998141921392987,,
325,1.525135,325,0.0000237,9.163784109548075,,
326,1.539592,326,0.0000243,9.366957237083678,,
327,1.525016,327,0.0000248,9.530458447587385,,
328,1.523512,328,0.0000254,9.731274805022043,,
329,1.514401,329,0.0000259,9.892674738963603,,
330,1.500075,330,0.0000265,10.091176402439944,,
331,1.500328,331,0.0000269,10.212548928285853,,
332,1.51445,332,0.0000274,10.371040808236184,,
333,1.518975,333,0.0000277,10.453107087620094,,
334,1.5189,334,0.0000281,10.572305816272237,,
335,1.539801,335,0.0000285,10.690792910723475,,
336,1.518522,336,0.0000288,10.771174812307862,,
337,1.538947,337,0.0000291,10.851079669965932,,
338,1.536821,338,0.0000293,10.893333106530287,,
339,1.535592,339,0.0000294,10.89826832041769,,
340,1.50892,340,0.0000297,10.977094330778453,,
341,1.509262,341,0.0000296,10.908051911584504,,
342,1.530274,342,0.0000296,10.876157022954139,,
343,1.528969,343,0.0000295,10.807811461329317,,
344,1.524142,344,0.0000293,10.703333110486156,,
345,1.527999,345,0.0000293,10.672308956542718,,
346,1.522616,346,0.000029,10.532507162324162,,
347,1.518212,347,0.0000287,10.393511142135685,,
348,1.53248,348,0.0000281,10.14698316849117,,
349,1.558725,349,0.0000276,9.93787475519522,,
350,1.51541,350,0.0000271,9.729961247118103,,
351,1.509361,351,0.0000265,9.487430805712766,,
352,1.517345,352,0.0000258,9.210578461660983,,
353,1.511994,353,0.0000252,8.970893469740826,,
354,1.511674,354,0.0000245,8.69706440824293,,
355,1.511614,355,0.0000237,8.38937981860035,,
356,1.511214,356,0.000023,8.118722587928678,,
357,1.50911,357,0.0000222,7.8143817265762925,,
358,1.509794,358,0.0000214,7.511741093499617,,
359,1.510727,359,0.0000206,7.210786480662923,,
360,1.511561,360,0.0000198,6.911503837897545,,
361,1.504316,361,0.0000189,6.579069379816852,,
362,1.507445,362,0.000018,6.248471576200694,,
363,1.506276,363,0.0000171,5.919695248086551,,
364,1.508262,364,0.0000161,5.558202387120403,,
365,1.507859,365,0.0000152,5.233118721596148,,
366,1.508191,366,0.0000142,4.875477123603833,,
367,1.507339,367,0.0000131,4.485543734280795,,
368,1.507707,368,0.0000121,4.131877294395271,,
369,1.506668,369,0.0000111,3.780127745782841,,
370,1.507382,370,0.0000101,3.4302795460818283,,
371,1.505094,371,0.00000912,3.0890916442845193,,
372,1.504134,372,0.00000822,2.7767625389793658,,
373,1.505553,373,0.00000733,2.4694771207306365,,
374,1.505726,374,0.00000649,2.180634900727033,,
375,1.506349,375,0.00000574,1.923492462037911,,
376,1.505321,376,0.00000498,1.6643756824337415,,
377,1.505188,377,0.00000435,1.449965840118366,,
378,1.504578,378,0.00000376,1.2499881880949866,,
379,1.503076,379,0.00000322,1.067644152460067,,
