"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
300,1.51915169,300,0.00000238732,0.9999982631690648,'Unpublished data',-
305,1.5183053,305,0.00000242711,0.9999988125185997,,
310,1.51747358,310,0.0000024669,0.999999344147182,,
315,1.51665652,315,0.00000250669,0.9999998588986664,,
320,1.51585424,320,0.00000254648,1.0000003575641672,,
325,1.51506662,325,0.00000258627,1.0000008408861139,,
330,1.51429355,330,0.00000262606,1.0000013095619409,,
335,1.51353514,335,0.00000266585,1.0000017642474448,,
340,1.51279116,340,0.00000270563,0.9999985095684883,,
345,1.51206148,345,0.00000274542,0.9999989916543177,,
350,1.51134622,350,0.00000278521,0.999999459966266,,
355,1.510645,355,0.000002825,0.9999999150863287,,
360,1.509958,360,0.00000286479,1.000000357564167,,
365,1.50928485,365,0.00000290458,1.0000007879193251,,
370,1.50862551,370,0.00000294437,1.0000012066432626,,
375,1.50797975,375,0.00000298416,1.0000016142012285,,
380,1.50734758,380,0.00000147464,0.4876545463883845,,
385,1.50672877,385,0.0000016586,0.5413657740513279,,
390,1.50612307,390,9.34999e-7,0.3012703578988516,,
395,1.50553036,395,3.68376e-7,0.11719365421354873,,
400,1.50495052,400,1.45947e-7,0.04585060230134696,,
405,1.50438344,405,6.79946e-8,0.021097415885805094,,
410,1.50382876,410,3.84552e-8,0.011786397445104997,,
415,1.50328636,415,2.63157e-8,0.007968502148826306,,
420,1.50275612,420,2.16567e-8,0.006479669487714103,,
425,1.5022378,425,2.06481e-8,0.006105215931349404,,
430,1.50173128,430,1.9017e-8,0.005557550464494615,,
435,1.5012362,435,1.66349e-8,0.004805524563972492,,
440,1.50075257,440,1.84726e-8,0.005275762222972984,,
445,1.50028014,445,1.768e-8,0.004992661403637532,,
450,1.49981868,450,1.79007e-8,0.004998818454587983,,
455,1.499368,455,1.71587e-8,0.004738957878255049,,
460,1.498928,460,1.66035e-8,0.004535776836858968,,
465,1.4984982,465,1.62653e-8,0.004395608343091102,,
470,1.49807882,470,1.57964e-8,0.004223476952609856,,
475,1.49766934,475,1.59217e-8,0.004212168063381946,,
480,1.49726975,480,1.48106e-8,0.0038774060129380824,,
485,1.49687982,485,1.52724e-8,0.003957085331355444,,
490,1.4964993,490,1.52226e-8,0.00390393537375804,,
495,1.4961282,495,1.54367e-8,0.003918854409347036,,
500,1.495766,500,1.56463e-8,0.003932344090868959,,
505,1.49541283,505,1.52909e-8,0.0038049726025169237,,
510,1.49506831,510,1.56916e-8,0.0038664011986721254,,
515,1.49473238,515,1.54905e-8,0.003779793475761762,,
520,1.49440491,520,1.50956e-8,0.003648017389348468,,
525,1.49408555,525,1.50076e-8,0.0035922107358486994,,
530,1.49377418,530,1.53674e-8,0.003643631014700059,,
535,1.49347067,535,1.69512e-8,0.003981589935665892,,
540,1.49317491,540,1.59891e-8,0.003720832525741672,,
545,1.49288654,545,1.7767e-8,0.00409663682028109,,
550,1.49260569,550,1.77737e-8,0.004060925479789739,,
555,1.49233186,555,1.71995e-8,0.003894329574444515,,
560,1.49206519,560,1.83472e-8,0.004117102052424475,,
565,1.49180532,565,1.89189e-8,0.00420782139851327,,
570,1.49155211,570,1.78754e-8,0.003940857917191508,,
575,1.49130559,575,1.92555e-8,0.004208204336779009,,
580,1.49106538,580,1.99367e-8,0.004319516569436112,,
585,1.49083149,585,2.03252e-8,0.004366051213862787,,
590,1.49060369,590,2.18814e-8,0.004660504779000658,,
595,1.49038184,595,1.94342e-8,0.004104493441908891,,
600,1.490166,600,1.88079e-8,0.0039391173646300985,,
605,1.48995566,605,1.82981e-8,0.0038006728287372825,,
610,1.489751,610,1.98847e-8,0.004096369012382751,,
615,1.48955166,615,2.1379e-8,0.004368397355518452,,
620,1.48935771,620,2.21628e-8,0.004492031591159991,,
625,1.48916888,625,2.225e-8,0.004473627938711865,,
630,1.48898518,630,2.16106e-8,0.004310584266645561,,
635,1.48880637,635,2.10874e-8,0.004173103680208467,,
640,1.48863232,640,1.83092e-8,0.0035950030133191403,,
645,1.488463,645,1.66794e-8,0.003249604992637866,,
650,1.4882983,650,1.54023e-8,0.0029777078479006815,,
655,1.488138,655,1.16606e-8,0.002237120934134299,,
660,1.487982,660,1.15045e-8,0.002190451677771138,,
665,1.4878304,665,1.06324e-8,0.0020091831416558267,,
670,1.48768282,670,1.20242e-8,0.0022552321424056353,,
675,1.48753929,675,1.23234e-8,0.002294228320429538,,
680,1.4873997,680,1.10999e-8,0.0020512567232694907,,
685,1.48726392,685,1.07309e-8,0.001968590750739078,,
690,1.48713183,690,1.145e-8,0.002085289036730616,,
695,1.48700345,695,1.08536e-8,0.0019624512244605574,,
700,1.48687851,700,1.14243e-8,0.0020508855401374787,,
705,1.48675716,705,1.51935e-8,0.0027081865521881715,,
710,1.48663914,710,1.56712e-8,0.0027736634812921897,,
715,1.48652434,715,2.44986e-8,0.0043057131067544,,
720,1.48641276,720,3.11141e-8,0.005430434887947677,,
725,1.48630428,725,4.12595e-8,0.007151478184319341,,
730,1.4861989,730,4.9594e-8,0.008537213482856559,,
735,1.48609638,735,4.84159e-8,0.008277716231670099,,
740,1.48599672,740,4.0105e-8,0.006810463425525333,,
745,1.48589993,745,3.60661e-8,0.006083489653886434,,
750,1.48580575,750,2.35242e-8,0.003941517541417441,,
755,1.48571432,755,1.82915e-8,0.0030444737495702095,,
760,1.48562551,760,1.23595e-8,0.0020436060211601608,,
765,1.48553908,765,1.39261e-8,0.0022875886772892456,,
770,1.48545516,770,1.5832e-8,0.0025837763580069404,,
775,1.48537362,775,1.37433e-8,0.0022284309840557735,,
780,1.48529434,780,1.43074e-8,0.0023050268067677238,,
785,1.48521733,785,2.08241e-8,0.003333545965738559,,
790,1.48514259,790,2.8508e-8,0.004534710043976599,,
795,1.48507,795,3.08313e-8,0.004873428205314364,,
800,1.4849993,800,3.88287e-8,0.006099197933422101,,
805,1.48493075,805,3.70256e-8,0.005779843625080957,,
810,1.48486412,810,3.55012e-8,0.005507669585857875,,
815,1.4847995,815,3.46333e-8,0.005340059918997368,,
820,1.48473668,820,3.44948e-8,0.005286273671563375,,
825,1.48467565,825,3.40203e-8,0.005181959978323434,,
830,1.48461628,830,3.11922e-8,0.004722563198520653,,
835,1.4845587,835,3.21556e-8,0.004839271699725602,,
840,1.48450279,840,2.36353e-8,0.003535832611685278,,
845,1.48444855,845,4.62035e-8,0.0068711278660419425,,
850,1.48439586,850,4.8876e-8,0.007225810942910811,,
855,1.4843446,855,5.99889e-8,0.008816874270733696,,
860,1.48429489,860,8.70334e-8,0.01271737163055544,,
865,1.48424661,865,1.29017e-7,0.01874306864222864,,
870,1.48419976,870,1.67409e-7,0.024180730323899478,,
875,1.48415422,875,2.35721e-7,0.03385322797242696,,
880,1.48411012,880,3.02145e-7,0.043146205105404005,,
885,1.4840672,885,3.84535e-7,0.05460123530161135,,
890,1.4840256,890,4.45956e-7,0.06296683565951865,,
895,1.48398519,895,4.83752e-7,0.06792186499930143,,
900,1.483946,900,4.65405e-7,0.06498279684195368,,
905,1.483908,905,4.10574e-7,0.05701022153171164,,
910,1.483871,910,3.28819e-7,0.04540726834113152,,
915,1.483835,915,2.60038e-7,0.03571293859908995,,
920,1.4838,920,1.90089e-7,0.025964443736010007,,
925,1.483766,925,1.46618e-7,0.019918444613363385,,
930,1.483734,930,1.05195e-7,0.01421418663201627,,
935,1.483702,935,8.61135e-8,0.011573627335824798,,
940,1.483671,940,6.59524e-8,0.008816832992621936,,
945,1.483641,945,5.21563e-8,0.00693561265263176,,
950,1.483612,950,5.11563e-8,0.006766831842729918,,
955,1.483584,955,5.63263e-8,0.007411698022362086,,
960,1.483556,960,6.96728e-8,0.009120148193126287,,
