"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
200,1.61192322,310,0.00005,20.2683397," M. Rubin, 'Optical properties of soda lime silica glasses', <i>Solar Energy Materials</i> <b>12</b>(4), pp.275-288, (1985)",-
210,1.60270154,320,0.0000138,5.419247327,,
220,1.59470618,330,0.00000628,2.391418408,,
230,1.58772838,340,0.00000271,1.001613658,,
240,1.58160222,350,0.00000112,0.40212386,,
250,1.57619393,360,5.42E-07,0.189193691,,
260,1.57139528,370,4.06E-07,0.137890445,,
270,1.56711745,380,5.94E-07,0.196432214,,
280,1.56328726,390,2.83E-07,0.091186741,,
290,1.559844,400,2.05E-07,0.064402649,,
300,1.55673707,410,2.18E-07,0.066816312,,
310,1.55392337,420,2.28E-07,0.06821744,,
320,1.55136693,430,2.40E-07,0.070137882,,
330,1.54903686,440,2.34E-07,0.066830244,,
340,1.54690707,450,1.93E-07,0.053895767,,
350,1.54495466,460,1.67E-07,0.045621389,,
360,1.54316032,470,1.70E-07,0.04545283,,
370,1.541507,480,1.68E-07,0.043982297,,
380,1.53998,490,1.55E-07,0.039750764,,
390,1.53856659,500,1.49E-07,0.037447784,,
400,1.53725541,510,1.50E-07,0.036959914,,
410,1.53603661,520,1.58E-07,0.038182434,,
420,1.53490126,530,1.77E-07,0.041966936,,
430,1.53384185,540,1.99E-07,0.046309403,,
440,1.53285134,550,2.20E-07,0.050265482,,
450,1.53192365,560,2.53E-07,0.056773067,,
460,1.53105342,570,3.05E-07,0.067241106,,
470,1.53023565,580,3.56E-07,0.077131516,,
480,1.529466,590,4.00E-07,0.085195733,,
490,1.52874053,600,4.55E-07,0.095294977,,
500,1.52805579,610,5.22E-07,0.107535171,,
510,1.52740836,620,5.97E-07,0.121001988,,
520,1.52679551,630,6.91E-07,0.137831144,,
530,1.52621448,640,7.75E-07,0.152170894,,
540,1.525663,650,8.39E-07,0.162202845,,
550,1.52513885,660,9.11E-07,0.173453994,,
560,1.52464008,670,0.00000101,0.189433348,,
570,1.52416492,680,0.0000011,0.203279525,,
580,1.52371156,690,0.00000116,0.211260723,,
590,1.52327871,700,0.00000123,0.220809084,,
600,1.5228647,710,0.00000135,0.238938033,,
610,1.52246845,720,0.00000147,0.2565634,,
620,1.52208877,730,0.00000159,0.273705881,,
630,1.52172458,740,0.00000171,0.290385051,,
640,1.52137482,750,0.00000183,0.306619443,,
650,1.52103865,760,0.00000196,0.324080084,,
660,1.52071512,770,0.00000209,0.341087202,,
670,1.5204035,780,0.00000221,0.356047167,,
680,1.520103,790,0.00000235,0.373809759,,
690,1.51981306,800,0.00000248,0.389557489,,
700,1.51953292,810,0.00000262,0.40646779,,
710,1.51926208,820,0.00000276,0.422965645,,
720,1.51899993,830,0.00000289,0.437551941,,
730,1.518746,840,0.00000302,0.451790944,,
740,1.51849985,850,0.00000315,0.465694911,,
750,1.518261,860,0.00000327,0.477814325,,
760,1.518029,870,0.00000339,0.489655131,,
770,1.51780355,880,0.00000351,0.501226828,,
780,1.51758409,890,0.00000362,0.511126535,,
790,1.51737058,900,0.00000373,0.520806249,,
800,1.51716244,910,0.00000382,0.527511382,,
810,1.51695955,920,0.00000391,0.534070751,,
820,1.51676154,930,0.000004,0.540489059,,
830,1.51656806,940,0.00000408,0.545433959,,
840,1.516379,950,0.00000417,0.551597531,,
850,1.51619411,960,0.00000426,0.557632696,,
